X.,Game,Release.date,Price,Score.rank,Userscore...Metascore.,Owners,Playtime,Median,Developer.s.,Publisher.s.
98,Stronghold Kingdoms,27-Feb-12,0,0.25,65/75),"1,000,000?..?2,000,000",49:04:00,49:03:00,FireFly Studios,FireFly Studios
242,Mabinogi,6-Dec-12,0,0.38,73),"500,000?..?1,000,000",43:09:00,14:23,NEXON Korea Corp.,Nexon America Inc.
160,Jagged Alliance - Back in Action,8-Feb-12,19.99,0.28,67/62),"200,000?..?500,000",27:22:00,09:07,"Coreplay GmbH, Bigmoon Studios",THQ Nordic
271,Sea Dogs: To Each His Own - Pirate Open World RPG,12-Dec,14.99,0.41,75),"20,000?..?50,000",22:17,07:25,BlackMark Studio,Akella
29,The Walking Dead,24-Apr-12,NA,0.95,96/82),"2,000,000?..?5,000,000",16:29,01:09,Telltale Games,Telltale Games
28,Counter-Strike: Global Offensive,21-Aug-12,14.99,0.71,88/83),"20,000,000?..?50,000,000",15:29,06:24,Valve,Valve
85,Spec Ops: The Line,25-Jun-12,29.99,0.87,93/76),"1,000,000?..?2,000,000",13:56,01:29,YAGER,"2K, Missing Link Games"
366,Viking: Battle for Asgard,17-Oct-12,14.99,0.13,52),"1,000,000?..?2,000,000",12:56,04:18,"Creative Assembly, PC Port - Hardlight",SEGA
266,MapleStory,9-Aug-12,0,0.3,68),"1,000,000?..?2,000,000",12:43,13:30,Nexon,Nexon America Inc.
226,Luxor Evolved,1-Mar-12,9.99,0.97,97),"50,000?..?100,000",12:27,08:18,MumboJumbo,MumboJumbo
83,Vindictus,22-Jun-12,0,0.36,72/76),"1,000,000?..?2,000,000",11:49,30:06:00,Nexon,Nexon America Inc.
337,Port Royale 3,4-May-12,14.99,0.28,67),"200,000?..?500,000",11:36,07:44,Gaming Minds Studios,Kalypso Media Digital
136,Risen 2: Dark Waters,26-Apr-12,9.99,0.43,76/69),"1,000,000?..?2,000,000",11:15,10:05,Piranha Bytes,Deep Silver
47,LEGO Harry Potter: Years 5-7,5-Jan-12,19.99,0.66,86/80),"200,000?..?500,000",10:33,07:01,Traveller's Tales,Warner Bros. Interactive Entertainment
30,Crusader Kings II,14-Feb-12,39.99,0.77,90/82),"2,000,000?..?5,000,000",10:16,03:56,Paradox Development Studio,Paradox Interactive
4,XCOM: Enemy Unknown,8-Oct-12,29.99,0.9,94/89),"2,000,000?..?5,000,000",10:05,07:45,"Firaxis Games, Feral Interactive,Mac), Feral Interactive,Linux)","2K, Feral Interactive,Mac), Feral Interactive,Linux)"
154,Guns of Icarus Online,29-Oct-12,4.99,0.83,92/64),"2,000,000?..?5,000,000",10:00,01:52,Muse Games,Muse Games
76,Legacy of Kain: Soul Reaver 2,6-Dec-12,6.99,0.39,74/77),"200,000?..?500,000",08:45,02:55,Crystal Dynamics,Square Enix
19,DARK SOULS: Prepare To Die Edition,24-Aug-12,NA,0.74,89/85),"2,000,000?..?5,000,000",08:17,01:01,FromSoftware,BANDAI NAMCO Entertainment
13,The Lord of the Rings Online,6-Jun-12,0,0.53,81/86),"2,000,000?..?5,000,000",08:07,15:13,"Standing Stone Games, LLC","Standing Stone Games, LLC"
134,Home,31-Aug-12,2.99,0.33,70/69),"200,000?..?500,000",08:04,05:22,Benjamin Rivers Inc.,Benjamin Rivers Inc.
200,LEGO Batman 2 DC Super Heroes,22-Jun-12,19.99,0.68,87),"200,000?..?500,000",07:42,02:34,TT Games,Warner Bros. Interactive Entertainment
