Name,CriticRate,CriticNum,UserRate,UserNum,TN,Index
1000 Amps,0,1,7.4,14,2.4,74
3DMark 11,0,0,0,0,0,0
3SwitcheD,0,0,5.7,6,0.6,57
7 Wonders: Ancient Alien Makeover,0,0,7.1,7,0.7,71
A Game of Dwarves,60,11,6.6,62,17.2,62.1627907
A New Beginning - Final Cut,72,20,6.8,74,27.4,70.91970803
A Valley Without Wind,54,12,6.8,60,18,58.66666667
A Virus Named TOM,65,9,6.3,59,14.9,64.20805369
Abandoned: Chestnut Lodge Asylum,0,0,0,0,0,0
Adventures of Shuggy,0,3,7.2,30,6,72
Aerofly FS 1 Flight Simulator,0,0,6.6,10,1,66
Age of Empires III: Complete Collection,0,0,8.5,49,4.9,85
Air Conflicts: Pacific Carriers,0,1,4.3,11,2.1,43
Alan Wake,83,30,8,1622,192.2,80.46826223
Alan Wake's American Nightmare,0,0,0,0,0,0
Alien Shooter 2 Conscription,0,0,6.4,5,0.5,64
All Zombies Must Die!: Scorepocalypse,0,0,0,0,0,0
Analogue: A Hate Story,62,5,7.9,100,15,73.33333333
Arena Wars 2,0,1,8.3,12,2.2,83
Assassin's Creed III,80,21,6.3,1721,193.1,64.84878301
Atooms to Moolecules Demo,0,0,0,0,0,0
Auditorium,0,0,7.6,11,1.1,76
Avernum 4,0,0,8.4,5,0.5,84
Avernum 5,0,2,8.3,6,2.6,83
Avernum 6,0,0,8.2,6,0.6,82
Avernum: Escape From the Pit,76,4,8.4,62,10.2,80.8627451
AVSEQ,0,2,3.8,4,2.4,38
Awesomenauts - the 2D moba,78,6,8,303,36.3,79.66942149
Ballads of Reemus: When the Bed Bites,0,1,8,4,1.4,80
Bang Bang Racing,0,1,6.6,22,3.2,66
BANZAI PECAN: The Last Hope For the Young Century,0,0,0,0,0,0
Batman: Arkham City - Game of the Year Edition,91,27,8.7,2052,232.2,87.46511628
Beyond Divinity,73,23,7.4,63,29.3,73.21501706
Beyond Oasis,0,0,0,0,0,0
Binary Domain,68,11,7.7,324,43.4,74.71889401
BIT.TRIP CORE,0,0,0,0,0,0
BIT.TRIP VOID,0,1,0,0,1,0
Blacklight: Retribution,75,20,7.5,354,55.4,75
Blackwell Convergence,0,0,8.1,35,3.5,81
Blackwell Deception,73,10,7.8,47,14.7,74.59863946
Blackwell Unbound,0,0,8.2,46,4.6,82
Blades of Time,63,6,7.4,111,17.1,70.14035088
Blood Bowl: Chaos Edition,0,1,6,31,4.1,60
Borderlands 2,89,38,8.2,2721,310.1,82.85778781
Botanicula,82,38,8.4,361,74.1,82.97435897
Bumbledore,0,2,0,0,2,0
Call of Duty: Black Ops - Mac Edition,0,0,0,0,0,0
Call of Duty: Black Ops II,74,11,4.4,1721,183.1,45.80229383
Call of the Ninja!,0,0,0,0,0,0
Cannon Fodder 3,49,10,5.7,11,11.1,49.79279279
Cargo Commander,63,9,6.9,22,11.2,64.17857143
Carrier Command: Gaea Mission,60,23,5.6,73,30.3,59.03630363
Castle Crashers,0,2,7.8,196,21.6,78
Chaos on Deponia,78,31,8.3,192,50.2,79.9123506
Check vs Mate,69,5,5.9,12,6.2,67.06451613
Cherry Tree High Comedy Club,0,1,6.6,14,2.4,66
