Name,CriticRate,CriticNum,UserRate,UserNum
1000 Amps,0,1,7.4,14
3DMark 11,0,0,0,0
3SwitcheD,0,0,5.7,6
7 Wonders: Ancient Alien Makeover,0,0,7.1,7
A Game of Dwarves,60,11,6.6,62
A New Beginning - Final Cut,72,"
20
","
6.8
    ",74
A Valley Without Wind,54,"
12
","
6.8
    ",60
A Virus Named TOM,65,"
9
","
6.3
    ",59
Abandoned: Chestnut Lodge Asylum,0,0,0,0
Adventures of Shuggy,0,"
3
","
7.2
    ",30
Aerofly FS 1 Flight Simulator,0,0,"
6.6
    ",10
Age of Empires III: Complete Collection,0,0,"
8.5
    ",49
Air Conflicts: Pacific Carriers,0,"
1
","
4.3
    ",11
Alan Wake,83,"
30
","
8.0
    ",1622
Alan Wake's American Nightmare,0,0,0,0
Alien Shooter 2 Conscription,0,0,"
6.4
    ",5
All Zombies Must Die!: Scorepocalypse,0,0,0,0
Analogue: A Hate Story,62,"
5
","
7.9
    ",100
Arena Wars 2,0,"
1
","
8.3
    ",12
Assassin's Creed III,80,"
21
","
6.3
    ",1721
Atooms to Moolecules Demo,0,0,0,0
Auditorium,0,0,"
7.6
    ",11
Avernum 4,0,0,"
8.4
    ",5
Avernum 5,0,"
2
","
8.3
    ",6
Avernum 6,0,0,"
8.2
    ",6
Avernum: Escape From the Pit,76,"
4
","
8.4
    ",62
AVSEQ,0,"
2
","
3.8
    ",4
Awesomenauts - the 2D moba,78,"
6
","
8.0
    ",303
Ballads of Reemus: When the Bed Bites,0,"
1
","
8.0
    ",4
Bang Bang Racing,0,"
1
","
6.6
    ",22
BANZAI PECAN: The Last Hope For the Young Century,0,0,0,0
Batman: Arkham City - Game of the Year Edition,91,"
27
","
8.7
    ",2052
Beyond Divinity,73,"
23
","
7.4
    ",63
Beyond Oasis,0,0,0,0
Binary Domain,68,"
11
","
7.7
    ",324
BIT.TRIP CORE,0,0,0,0
BIT.TRIP VOID,0,"
1
",0,0
Blacklight: Retribution,75,"
20
","
7.5
    ",354
Blackwell Convergence,0,0,"
8.1
    ",35
Blackwell Deception,73,"
10
","
7.8
    ",47
Blackwell Unbound,0,0,"
8.2
    ",46
Blades of Time,63,"
6
","
7.4
    ",111
Blood Bowl: Chaos Edition,0,"
1
","
6.0
    ",31
Borderlands 2,89,"
38
","
8.2
    ",2721
Botanicula,82,"
38
","
8.4
    ",361
Bumbledore,0,"
2
",0,0
Call of Duty: Black Ops - Mac Edition,0,0,0,0
Call of Duty: Black Ops II,74,"
11
","
4.4
    ",1721
Call of the Ninja!,0,0,0,0
Cannon Fodder 3,49,"
10
","
5.7
    ",11
Cargo Commander,63,"
9
","
6.9
    ",22
Carrier Command: Gaea Mission,60,"
23
","
5.6
    ",73
Castle Crashers,0,"
2
","
7.8
    ",196
Chaos on Deponia,78,"
31
","
8.3
    ",192
Check vs Mate,69,"
5
","
5.9
    ",12
Cherry Tree High Comedy Club,0,"
1
","
6.6
    ",14
Chivalry: Medieval Warfare,79,"
24
","
7.8
    ",923
Choice of Kung Fu,0,0,0,0
Choplifter HD,65,"
13
","
6.6
    ",19
Cladun X2,0,"
2
","
5.3
    ",4
Clan of Champions,42,"
6
","
4.1
    ",9
Close Combat - Panthers in the Fog,0,"
1
","
5.7
    ",14
Closure,78,"
8
","
6.6
    ",61
Colour Bind,66,"
9
","
7.0
    ",5
Condemned: Criminal Origins,78,"
24
","
7.7
    ",174
