Game,CriticRate,CriticNum,UserRate,UserNum
140,0,"
6
","
7.3
",69
"10,000,000",67,5,7.2,48
1953 - KGB Unleashed,0,0,"
6.5
",20
3079 -- Block Action RPG,0,0,"
6.8
",9
7 Days to Die,0,0,"
7.2
",177
7 Grand Steps: What Ancients Begat,69,"
4
","
7.1
",29
9.03m,0,"
1
","
6.6
",16
99 Spirits,0,"
2
","
6.0
",8
A Valley Without Wind 2,68,"
6
","
7.2
",31
A Walk in the Dark,67,"
4
","
5.7
",16
Aarklash: Legacy,72,"
13
","
7.7
",105
Aartform Curvy 3D 3.0,0,0,0,0
Ace Combat Assault Horizon - Enhanced Edition,77,"
14
","
5.9
",168
Affairs of the Court: Choice of Romance,0,0,0,0
Age of Conan: Unchained,0,0,"
7.4
",35
Age of Empires II HD,68,"
20
","
7.9
",554
Agricultural Simulator 2013 - Steam Edition,0,0,"
3.0
",15
Agricultural Simulator: Historical Farming,0,0,0,0
Air Conflicts: Vietnam,43,"
9
","
2.8
",25
Airport Simulator 2014,0,0,"
2.4
",32
Alex Hunter - Lord of the Mind Platinum Edition,0,"
1
",0,0
Alien Rage - Unlimited,52,"
27
","
6.8
",169
Alien Spidy,0,"
1
","
6.4
",8
Alone in the Dark,55,"
19
","
5.6
",156
Alone in the Dark: The New Nightmare,66,"
16
","
7.6
",39
America's Army: Proving Grounds,0,0,"
7.5
",23
Amnesia: A Machine for Pigs,72,"
59
","
5.9
",863
Anachronox,77,"
18
","
8.1
",78
Angelica Weaver: Catch Me When You Can,0,0,"
6.0
",9
Angry Birds Space,0,"
2
","
6.5
",33
Angry Video Game Nerd Adventures,77,"
7
","
7.6
",113
Anna - Extended Edition,75,"
5
","
6.0
",74
Anodyne,75,"
11
","
6.6
",62
Anomaly 2,77,"
27
","
7.7
",114
Anomaly Korea,0,0,"
7.3
",12
Anomaly Warzone Earth Mobile Campaign,0,0,"
7.3
",4
Another World ??20th Anniversary Edition,0,"
2
","
7.7
",44
Antichamber,82,"
50
","
8.3
",563
Arma 3,74,"
38
","
7.5
",942
Arma Tactics,47,"
5
","
5.7
",33
Armada 2526 Gold Edition,0,0,"
6.6
",5
Artemis Spaceship Bridge Simulator,0,0,"
8.6
",13
Assassin's Creed IV Black Flag,84,"
10
","
7.7
",1683
A-Train 8,0,0,0,0
Avadon 2: The Corruption,82,"
4
","
7.7
",31
Axis Game Factory's AGFPRO v3,0,0,0,0
Bad Bots,49,"
8
","
4.6
",18
Bad Hotel,0,"
1
","
3.3
",10
Baldur's Gate II: Enhanced Edition,78,"
34
","
7.4
",317
Baldur's Gate: Enhanced Edition,78,"
39
","
6.6
",374
Ballpoint Universe - Infinite,0,"
1
","
6.0
",7
Batman: Arkham Origins,74,"
17
","
7.5
",1276
Battle Worlds: Kronos,71,"
15
","
7.1
",71
Battleship,0,0,0,0
Beast Boxing Turbo,0,0,"
6.6
",7
Beatbuddy: Tale of the Guardians,75,"
20
","
7.4
",36
Bientot l'ete,62,"
12
","
4.4
",32
Bionic Dues,71,"
6
","
7.6
",62
BioShock Infinite,94,"
68
","
8.6
",7856
BIT.TRIP FATE,74,"
9
","
6.4
",9
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,85,"
23
","
8.1
",164
Bleed,0,"
2
","
7.7
",35
Blockland,0,0,"
5.8
",77
Blood Knights,0,"
3
","
6.0
",43
Blood of the Werewolf,65,"
9
","
7.4
",45
Blood Omen 2: Legacy of Kain,66,"
8
","
8.3
",43
Bloody Trapland,0,"
1
","
6.3
",12
Bridge Constructor,0,"
3
","
6.7
",10
Bridge It +,0,0,0,0
Bridge Project,0,"
1
","
4.5
",22
Broken Sword 5 - the Serpent's Curse,69,"
39
","
7.9
",153
Brothers - A Tale of Two Sons,90,"
9
","
8.6
",1334
Brutal Legend,80,"
17
","
7.8
",428
Bunny Must Die! Chelsea and the 7 Devils,0,0,"
7.3
",8
Bus-Simulator 2012,0,0,0,0
Call of Duty: Ghosts - Digital Hardened Edition,0,0,0,0
Castle of Illusion,69,4,6.7,55
CastleStorm,73,"
8
","
7.7
",65
Castlevania: Lords of Shadow ??Ultimate Edition,81,"
23
","
7.4
",587
Chainsaw Warrior,0,"
2
","
3.8
",4
Champions of Regnum,0,"
1
","
5.4
",30
Citadels,20,"
6
","
1.4
",96
Cities in Motion 2,72,"
15
","
7.3
",151
Cities XL Platinum,0,0,"
5.5
",74
Clickteam Fusion 2.5,0,0,0,0
Cloudberry Kingdom,67,"
6
","
7.4
",26
Cognition: An Erica Reed Thriller,0,"
1
","
8.0
",11
Company of Heroes 2,80,"
82
","
2.1
",5692
Construct 2,0,0,0,0
Contagion,62,"
4
","
7.2
",108
Contrast,62,"
24
","
7.6
",189
"Cook, Serve, Delicious!",0,"
1
","
7.8
",52
Cranky Cat,0,0,0,0
Cry of Fear,0,0,"
8.1
",143
Cubemen 2,68,"
4
","
6.8
",16
Cubetractor,75,"
6
","
7.2
",13
Cut the Rope,0,0,"
3.8
",4
Daikatana,0,0,0,0
DARK,41,"
21
","
4.3
",263
Dark Angels: Masquerade of Shadows,0,0,0,0
Dark Fall 2: Lights Out,66,"
20
","
6.8
",17
Dark Fall: The Journal,68,"
23
","
7.5
",19
Dark Matter,0,0,0,0
Darkfall Unholy Wars,0,"
1
","
7.2
",109
Darkout,55,"
13
","
6.8
",16
DayZ,0,0,0,0
DCS World Steam Edition,0,"
1
","
8.9
",54
Dead Sky,0,"
3
","
4.2
",13
Deadfall Adventures,53,"
31
","
7.0
",164
Deadly Premonition: The Director's Cut,59,"
7
","
7.2
",112
Deathtrap Dungeon,0,0,0,0
Defense Technica,63,"
15
","
7.7
",19
Dementium II HD,37,"
5
","
4.9
",28
Democracy 3,70,"
14
","
7.1
",144
Demonicon,61,12,6.6,67
Desktop Dungeons,82,"
12
","
7.7
",64
Desperados: Wanted Dead or Alive,78,"
12
","
8.8
",119
Deus Ex: Human Revolution - Director's Cut,91,"
4
","
8.5
",478
DisplayFusion,0,0,0,0
Divekick,73,"
5
","
6.7
",53
Divinity: Dragon Commander,76,"
37
","
7.1
",252
DIVO,0,"
1
",0,0
DLC Quest,0,"
2
","
6.4
",101
DmC: Devil May Cry,85,"
22
","
6.9
",1814
Dominions 3: The Awakening,82,"
8
","
7.6
",45
Dominions 4: Thrones of Ascension,0,"
3
","
8.4
",32
Doorways: Prelude,0,"
3
","
6.3
",33
Dota 2,90,"
33
","
6.5
",11026
Dracula: Love Kills,0,0,0,0
Dragon's Lair,0,0,"
5.6
",5
Dragon's Lair 2: Time Warp,0,0,0,0
Dragon's Prophet,63,"
7
","
5.9
",49
Draw a Stickman: EPIC,0,0,"
7.2
",13
Driver Fusion - The Best Driver & Device Solution,0,0,0,0
Droid Assault,0,"
2
","
8.3
",9
DuckTales: Remastered,66,"
6
","
7.6
",165
Dungeon Hearts,73,"
8
","
6.4
",21
Dungeon-Party,0,0,"
5.8
",5
Dungeons & Dragons: Chronicles of Mystara,80,"
9
","
6.8
",34
Dust: An Elysian Tail,85,"
7
","
8.5
",486
Dyad,80,"
4
","
7.6
",12
Dysfunctional Systems: Learning to Manage Chaos,0,"
1
","
5.9
",16
Eador. Masters of the Broken World,0,"
1
","
8.8
",31
Eador: Genesis,74,"
19
","
7.2
",213
Earth 2140,0,0,"
5.8
",18
Earth 2150 Trilogy,0,0,"
8.1
",8
Edna & Harvey: The Breakout,56,"
7
","
6.6
",40
Elder Sign: Omens,0,"
1
",0,0
Eldritch,77,"
14
","
6.8
",46
Electronic Super Joy,0,"
3
","
7.3
",51
Element4l,77,"
8
","
7.7
",36
Eleusis,49,"
5
","
6.8
",21
Emergency 2014,0,0,0,0
Enclave,71,"
15
","
7.0
",97
ENSLAVED: Odyssey to the West Premium Edition,70,"
8
","
7.6
",227
Eryi's Action,0,"
2
","
6.0
",11
Escape Goat,0,"
2
","
7.5
",18
Euro Truck Simulator,0,0,"
7.5
",40
Europa Universalis IV,87,"
34
","
8.7
",1095
Evoland,61,"
27
","
6.8
",167
Expeditions: Conquistador,77,"
21
","
8.1
",208
Face Noir,59,"
14
","
6.3
",28
Fallen Enchantress: Legendary Heroes,80,"
18
","
7.7
",158
Far Cry 3 - Blood Dragon,81,"
31
","
8.1
",836
Farming Giant,0,"
1
","
4.6
",5
Farming Simulator 2013 Titanium Edition,0,0,0,0
FATE,80,"
9
","
7.7
",53
Fester Mudd: Curse of the Gold - Episode 1,76,"
5
","
7.7
",21
FEZ,91,"
11
","
6.7
",1098
Fieldrunners 2,73,"
5
","
7.5
",39
Final Exam,66,"
5
","
6.7
",19
FI0L FANTASY VII,0,0,"
9.2
",270
FI0L FANTASY VIII,0,0,"
9.1
",172
FI0L FANTASY XI: Ultimate Collection Seekers Edition,0,0,"
8.2
",5
Finding Teddy,0,"
1
","
6.3
",16
Fist Puncher,73,"
11
","
7.5
",25
Flashback,0,"
1
","
5.0
",46
Flashpoint Campaigns: Red Storm Player's Edition,0,"
1
",0,0
FORCED: Slightly Better Edition,72,"
25
","
7.7
",132
Foul Play,69,"
9
","
5.9
",30
Game Dev Tycoon,68,"
21
","
8.0
",1024
Gas Guzzlers Extreme,73,"
9
","
8.6
",152
Gentlemen!,0,0,0,0
Giana Sisters: Twisted Dreams - Rise of the Owlverlord,84,"
5
","
8.0
",43
Gimbal,0,0,0,0
Go Home Dinosaurs!,0,"
1
","
7.8
",25
God Mode,58,"
16
","
6.8
",132
Gomo,50,"
19
","
4.8
",24
Gone Home,86,"
56
","
5.4
",2093
Goodbye Deponia,80,"
34
","
7.8
",201
Gorky 17,0,0,0,0
Gravi,0,0,"
8.8
",4
Gravity Badgers,0,"
2
","
2.2
",5
GRID 2,80,"
17
","
5.8
",584
