X.,Game,Release.date,Price,Score.rank,Userscore...Metascore,Owners,Playtime,Median,Developer.s,Publisher.s
505,Loren The Amazon Princess,15-Jan-14,19.99,0.56,82,"50,000?..?100,000",46:28:00,15:29,Winter Wolves,Winter Wolves
1512,Sigils of Elohim,13-Oct-14,0,0.84,92,"200,000?..?500,000",40:58:00,13:39,Croteam,Devolver Digital
22,Transistor,20-May-14,19.99,0.9,94/83,"1,000,000?..?2,000,000",37:21:00,02:02,Supergiant Games,Supergiant Games
994,Epic Battle Fantasy 4,25-Feb-14,11.99,0.97,97,"100,000?..?200,000",34:30:00,11:30,Matt Roszak,Matt Roszak
788,FaeVerse Alchemy,2-Apr-14,0,0.28,67,"50,000?..?100,000",00:58,00:58,Subsoap,Subsoap
982,LEGO The Hobbit,8-Apr-14,19.99,0.41,75,"200,000?..?500,000",33:41:00,22:27,"Traveller's Tales, Feral Interactive,Mac","Warner Bros. Interactive Entertainment, Feral Interactive,Mac"
944,Murder Miners,25-Jul-14,0.99,0.58,83,"500,000?..?1,000,000",32:31:00,01:43,JForce Games,JForce Games
1107,Cho Dengeki Stryker All Ages Version,19-Sep-14,34.99,0.77,90,"0?..?20,000",27:32:00,09:10,OVERDRIVE,MangaGamer
468,EVGA Precision XOC,16-Jul-14,0,0.39,74,"1,000,000?..?2,000,000",27:27:00,05:33,EVGA,EVGA
305,Magic 2015 - Duels of the Planeswalkers,16-Jul-14,9.99,0.08,44/60,"200,000?..?500,000",25:26:00,16:48,Stainless Games,Wizards of the Coast
597,Serena,30-Jan-14,0,0.45,77,"500,000?..?1,000,000",25:25:00,02:12,Senscape,Senscape
492,Supreme Ruler Ultimate,17-Oct-14,19.99,0.38,73,"20,000?..?50,000",24:33:00,08:11,BattleGoat Studios,BattleGoat Studios
20,FINAL FANTASY XIV Online,18-Feb-14,19.99,0.56,82/83,"500,000?..?1,000,000",24:18:00,12:05,Square Enix,Square Enix
534,Counter-Strike Nexon: Zombies,7-Oct-14,0,0.24,64,"5,000,000?..?10,000,000",18:22,05:51,"Valve Corporation, Nexon Korea Corporation",Nexon Korea Corporation
110,Fenix Rage,24-Sep-14,14.99,0.8,91/75,"20,000?..?50,000",168:17:00,112:11:00,Green Lava Studios,Reverb Triple XP
938,Wings of Vi,28-Nov-14,14.99,0.63,85,"50,000?..?100,000",16:20,05:26,Grynsoft,Grynsoft
100,MotoGP14,20-Jun-14,19.99,0.11,49/76,"20,000?..?50,000",16:08,10:43,Milestone S.r.l.,"Plug In Digital, Milestone S.r.l."
706,The Elder Scrolls Online,4-Apr-14,9.99,0.45,77,"1,000,000?..?2,000,000",16:04,04:19,Zenimax Online Studios,Bethesda Softworks
1453,NEKOPARA Vol. 1,29-Dec-14,9.99,0.95,96,"500,000?..?1,000,000",15:26,00:59,NEKO WORKs,Sekai Project
1600,Cricket Captain 2014,8-Aug-14,9.99,0.16,57,"0?..?20,000",148:36:00,49:32:00,Childish Things,KISS ltd
1435,Rise to Ruins,27-Oct-14,4.99,0.84,92,"100,000?..?200,000",13:41,28:10:00,Raymond Doerr,SixtyGig Games
557,Mountain,18-Aug-14,0.99,0.71,88,"200,000?..?500,000",13:28,01:14,David OReilly,"Double Fine Presents, David OReilly"
682,theHunter Classic,3-Jun-14,0,0.07,42,"5,000,000?..?10,000,000",12:44,02:25,"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios"
1629,Woodle Tree Adventures,6-Jun-14,2.99,0.31,69,"500,000?..?1,000,000",114:00:00,113:59:00,Fabio Ferrara,Chubby Pixel
1073,Overcast - Walden and the Werewolf,18-Apr-14,0.99,0.19,60,"500,000?..?1,000,000",112:40:00,112:08:00,Microblast Games,Microblast Games
984,openCanvas 6,14-Sep,49.99,0.63,85,"0?..?20,000",10:37,10:37,PGN Inc,PGN Inc
1545,MorphVOX Pro - Voice Changer,13-Feb-14,39.99,0.16,57,"0?..?20,000",10:34,14:01,Screaming Bee,Screaming Bee
679,Hidden Object Bundle 4 in 1,1-Jun-14,7.99,0.8,91,"20,000?..?50,000",10:30,03:30,Alawar Entertainment,Alawar Entertainment
