"","V1","V2","V3","V4","V5"
"c..Name....CriticRate....CriticNum....UserRate....UserNum..","Name","CriticRate","CriticNum","UserRate","UserNum"
"cur15_sta","Grand Theft Auto V","96","
                                57
                            ","
7.7
    ","5022 Ratings"
"cur15_sta.1","Divinity: Original Sin","87","
                                59
                            ","
8.7
    ","2148 Ratings"
"cur15_sta.2","The Witcher 3: Wild Hunt","93","
                                32
                            ","
9.4
    ","13123 Ratings"
"cur15_sta.3","Undertale","92","
                                43
                            ","
8.3
    ","3755 Ratings"
"cur15_sta.4","Metal Gear Solid V: The Phantom Pain","91","
                                13
                            ","
7.8
    ","2184 Ratings"
"cur15_sta.5","Pillars of Eternity","89","
                                71
                            ","
8.3
    ","2360 Ratings"
"cur15_sta.6","Ori and the Blind Forest","88","
                                12
                            ","
8.7
    ","1022 Ratings"
"cur15_sta.7","Nuclear Throne","88","
                                14
                            ","
7.6
    ","175 Ratings"
"cur15_sta.8","Kerbal Space Program","88","
                                24
                            ","
8.2
    ","580 Ratings"
"cur15_sta.9","Crypt of the NecroDancer","87","
                                45
                            ","
7.7
    ","172 Ratings"
"cur15_sta.10","Dying Light","75","
                                40
                            ","
7.9
    ","1418 Ratings"
"cur15_sta.11","Oddworld: Abe's Oddysee - New 'n' Tasty","87","
                                12
                            ","
7.7
    ","154 Ratings"
"cur15_sta.12","Mushihimesama","86","
                                6
                            ","
8.0
    ","22 Ratings"
"cur15_sta.13","Black Mesa","86","
                                9
                            ","
8.9
    ","632 Ratings"
"cur15_sta.14","Rocket League","86","
                                20
                            ","
8.3
    ","828 Ratings"
"cur15_sta.15","Her Story","86","
                                49
                            ","
6.0
    ","375 Ratings"
"cur15_sta.16","DiRT Rally","86","
                                33
                            ","
8.7
    ","347 Ratings"
"cur15_sta.17","Homeworld Remastered Collection","86","
                                49
                            ","
8.2
    ","332 Ratings"
"cur15_sta.18","Roche Fusion","85","
                                4
                            ","
8.1
    ","7 Ratings"
"cur15_sta.19","Mighty Switch Force! Hyper Drive Edition","85","
                                4
                            ","
7.3
    ","7 Ratings"
"cur15_sta.20","Cities: Skylines","85","
                                60
                            ","
8.9
    ","1583 Ratings"
"cur15_sta.21","System Shock: Enhanced Edition","85","
                                9
                            ","
8.4
    ","42 Ratings"
"cur15_sta.22","Zenzizenzic","85","
                                13
                            ","
6.1
    ","19 Ratings"
"cur15_sta.23","Mega Man Legacy Collection","85","
                                7
                            ","
7.6
    ","43 Ratings"
"cur15_sta.24","Chaos Reborn","85","
                                10
                            ","
8.1
    ","57 Ratings"
"cur15_sta.25","SOMA","84","
                                68
                            ","
8.4
    ","942 Ratings"
"cur15_sta.26","Guilty Gear Xrd -SIGN-","84","
                                5
                            ","
7.4
    ","31 Ratings"
"cur15_sta.27","80 Days (2005)","58","
                                17
                            ","
7.5
    ","11 Ratings"
"cur15_sta.28","Grim Fandango Remastered","84","
                                38
                            ","
8.0
    ","299 Ratings"
"cur15_sta.29","Bulb Boy","84","
                                5
                            ","
7.8
    ","27 Ratings"
"cur15_sta.30","Fallout 4","84","
                                38
                            ","
5.4
    ","8065 Ratings"
"cur15_sta.31","Clannad","83","
                                5
                            ","
8.6
    ","58 Ratings"
"cur15_sta.32","Broforce","83","
                                32
                            ","
8.0
    ","248 Ratings"
"cur15_sta.33","Divide By Sheep","83","
                                4
                            ","
7.4
    ","9 Ratings"
"cur15_sta.34","Prison Architect","83","
                                36
                            ","NA","0"
"cur15_sta.35","Helldivers","83","
                                14
                            ","
7.0
    ","80 Ratings"
"cur15_sta.36","SMITE","83","
                                18
                            ","
8.2
    ","844 Ratings"
"cur15_sta.37","Beyond Sol","83","
                                4
                            ","NA","0"
"cur15_sta.38","Project CARS","83","
                                48
                            ","
7.1
    ","447 Ratings"
"cur15_sta.39","Independence War 2: Edge of Chaos","83","
                                17
                            ","
7.7
    ","23 Ratings"
"cur15_sta.40","Duck Game","82","
                                6
                            ","
8.5
    ","69 Ratings"
"cur15_sta.41","Kero Blaster","82","
                                14
                            ","
7.2
    ","38 Ratings"
"cur15_sta.42","Technobabylon","82","
                                26
                            ","
7.7
    ","64 Ratings"
"cur15_sta.43","Hacknet","82","
                                7
                            ","
7.7
    ","46 Ratings"
"cur15_sta.44","Invisible, Inc.","82","
                                45
                            ","
7.9
    ","163 Ratings"
"cur15_sta.45","Resident Evil","NA","0","
8.8
    ","67 Ratings"
"cur15_sta.46","BLACKHOLE","82","
                                6
                            ","
8.0
    ","59 Ratings"
"cur15_sta.47","Ninja Pizza Girl","82","
                                4
                            ","NA","0"
"cur15_sta.48","OlliOlli2: Welcome to Olliwood","82","
                                16
                            ","
5.7
    ","31 Ratings"
"cur15_sta.49","The Next Penelope","82","
                                4
                            ","
7.8
    ","4 Ratings"
"cur15_sta.50","Downwell","81","
                                20
                            ","
6.5
    ","106 Ratings"
"cur15_sta.51","Kalimba","81","
                                4
                            ","
7.2
    ","5 Ratings"
"cur15_sta.52","Shadowrun: Hong Kong","81","
                                28
                            ","
7.7
    ","208 Ratings"
"cur15_sta.53","Sunless Sea","81","
                                38
                            ","
7.5
    ","134 Ratings"
"cur15_sta.54","The Age of Decadence","81","
                                17
                            ","
8.1
    ","212 Ratings"
"cur15_sta.55","Vietnam '65","81","
                                6
                            ","
6.8
    ","4 Ratings"
"cur15_sta.56","Galactic Civilizations III","81","
                                31
                            ","
6.6
    ","212 Ratings"
"cur15_sta.57","Order of Battle: World War II","NA","0","NA","0"
"cur15_sta.58","Penarium","80","
                                6
                            ","
7.9
    ","9 Ratings"
"cur15_sta.59","The Legend of Heroes: Trails in the Sky SC","80","
                                7
                            ","
8.5
    ","85 Ratings"
"cur15_sta.60","Lovers in a Dangerous Spacetime","80","
                                16
                            ","
7.3
    ","26 Ratings"
"cur15_sta.61","Axiom Verge","80","
                                11
                            ","
7.7
    ","70 Ratings"
"cur15_sta.62","Dropsy","80","
                                28
                            ","
7.4
    ","47 Ratings"
"cur15_sta.63","Odallus: The Dark Call","80","
                                6
                            ","
8.8
    ","30 Ratings"
"cur15_sta.64","Rampage Knights","80","
                                5
                            ","
8.5
    ","21 Ratings"
"cur15_sta.65","Circa Infinity","80","
                                6
                            ","
8.6
    ","8 Ratings"
"cur15_sta.66","The Book of Unwritten Tales 2","80","
                                39
                            ","
7.6
    ","82 Ratings"
"cur15_sta.67","Grandia II Anniversary Edition","80","
                                8
                            ","
7.7
    ","27 Ratings"
"cur15_sta.68","Bowl Bound College Football","80","
                                5
                            ","
6.3
    ","4 Ratings"
"cur15_sta.69","Card Hunter","80","
                                5
                            ","
7.6
    ","32 Ratings"
"cur15_sta.70","Dariusburst: Chronicle Saviours","80","
                                9
                            ","
8.6
    ","12 Ratings"
"cur15_sta.71","Volume","80","
                                34
                            ","
7.3
    ","53 Ratings"
"cur15_sta.72","Total War: Attila","80","
                                66
                            ","
7.3
    ","561 Ratings"
"cur15_sta.73","Elite: Dangerous","80","
                                54
                            ","
6.7
    ","1755 Ratings"
"cur15_sta.74","The Corporate Machine","80","
                                10
                            ","
7.5
    ","4 Ratings"
"cur15_sta.75","ArcheAge","80","
                                11
                            ","
3.7
    ","746 Ratings"
"cur15_sta.76","Company of Heroes 2: The British Forces","80","
                                14
                            ","
6.2
    ","54 Ratings"
"cur15_sta.77","Assault Android Cactus","79","
                                15
                            ","
7.0
    ","26 Ratings"
"cur15_sta.78","The Magic Circle","79","
                                18
                            ","
7.1
    ","31 Ratings"
"cur15_sta.79","Dark Souls II: Scholar of the First Sin","79","
                                8
                            ","
7.4
    ","352 Ratings"
"cur15_sta.80","BADLAND: Game of the Year Edition","79","
                                4
                            ","
7.1
    ","18 Ratings"
"cur15_sta.81","Else Heart.Break()","79","
                                10
                            ","
7.5
    ","15 Ratings"
"cur15_sta.82","Warhammer: End Times - Vermintide","79","
                                39
                            ","
7.7
    ","289 Ratings"
"cur15_sta.83","Jotun","79","
                                28
                            ","
6.9
    ","71 Ratings"
"cur15_sta.84","Stasis","79","
                                31
                            ","
7.6
    ","115 Ratings"
"cur15_sta.85","iRacing","79","
                                4
                            ","
7.0
    ","78 Ratings"
"cur15_sta.86","Frozen Cortex","79","
                                11
                            ","
6.5
    ","29 Ratings"
"cur15_sta.87","The Incredible Adventures of Van Helsing: Final Cut","79","
                                10
                            ","
7.4
    ","44 Ratings"
"cur15_sta.88","Human Resource Machine","78","
                                12
                            ","
7.8
    ","35 Ratings"
"cur15_sta.89","Avernum 2: Crystal Souls","78","
                                8
                            ","
7.7
    ","22 Ratings"
"cur15_sta.90","AR-K Episode 3: The Great Escape","78","
                                9
                            ","
7.8
    ","43 Ratings"
"cur15_sta.91","Hand of Fate","78","
                                28
                            ","
7.7
    ","188 Ratings"
"cur15_sta.92","Apotheon","78","
                                30
                            ","
7.7
    ","191 Ratings"
"cur15_sta.93","Running with Rifles","78","
                                4
                            ","
7.3
    ","28 Ratings"
"cur15_sta.94","Mushroom 11","78","
                                20
                            ","
7.2
    ","19 Ratings"
"cur15_sta.95","Galak-Z: The Dimensional","78","
                                7
                            ","
6.3
    ","8 Ratings"
"cur15_sta.96","Mini Metro","77","
                                8
                            ","
7.7
    ","65 Ratings"
"cur15_sta.97","Aviary Attorney","77","
                                15
                            ","
7.3
    ","22 Ratings"
"cur15_sta.98","Pix the Cat","77","
                                7
                            ","
7.5
    ","11 Ratings"
"cur15_sta.99","Tales of Zestiria","77","
                                4
                            ","
7.9
    ","137 Ratings"
"cur15_sta.100","Interloper","77","
                                5
                            ","
7.2
    ","5 Ratings"
"cur15_sta.101","Three Fourths Home","77","
                                8
                            ","
5.6
    ","18 Ratings"
"cur15_sta.102","Deathtrap","77","
                                26
                            ","
7.7
    ","69 Ratings"
"cur15_sta.103","TERA","77","
                                41
                            ","
6.9
    ","768 Ratings"
"cur15_sta.104","Grey Goo","77","
                                45
                            ","
7.5
    ","197 Ratings"
"cur15_sta.105","Evolve","77","
                                39
                            ","
4.3
    ","955 Ratings"
"cur15_sta.106","JumpJet Rex","76","
                                11
                            ","
7.0
    ","13 Ratings"
"cur15_sta.107","DISTRAINT","76","
                                8
                            ","
7.8
    ","46 Ratings"
"cur15_sta.108","Ys VI: The Ark of Napishtim","76","
                                9
                            ","
7.8
    ","27 Ratings"
"cur15_sta.109","Concrete Jungle","76","
                                5
                            ","
6.8
    ","10 Ratings"
"cur15_sta.110","Wolfenstein: The Old Blood","76","
                                30
                            ","
7.7
    ","433 Ratings"
"cur15_sta.111","Pathologic Classic HD","76","
                                11
                            ","
8.7
    ","47 Ratings"
"cur15_sta.112","Audiosurf 2","76","
                                7
                            ","
7.1
    ","37 Ratings"
"cur15_sta.113","Castle In The Darkness","76","
                                10
                            ","
7.5
    ","26 Ratings"
"cur15_sta.114","Galacide","76","
                                5
                            ","NA","0"
