X.,Game,Url,Price,Score.rank.Userscore...Metascore.,Owners,Playtime..Median.,Developer.s.,Publisher.s.,
224,1000 Amps,1000-Amps,$4.99,47% (78%),"20,000?..?50,000",00:00 (00:00),Brandon Brizzi,Brandon Brizzi,
322,3DMark 11,3DMark-11,$19.99,N/A (N/A),0%,"20,000?..?50,000",00:00 (00:00),UL,UL
231,3SwitcheD,3SwitcheD,$9.99,5% (36%),"200,000?..?500,000",04:05 (04:44),Reality Pump,Topware Interactive,
230,7 Wonders: Ancient Alien Makeover,7-Wonders-Ancient-Alien-Makeover,$9.99,N/A (N/A),0%,"20,000?..?50,000",00:00 (00:00),MumboJumbo,MumboJumbo
165,A Game of Dwarves,A-Game-of-Dwarves,$9.99,23% (63%,60%),"50,000?..?100,000",00:00 (00:00),Zeal Game Studio,Paradox Interactive
122,A New Beginning - Final Cut,A-New-Beginning-Final-Cut,$9.99,39% (74%,72%),"200,000?..?500,000",00:00 (00:00),Daedalic Entertainment,Daedalic Entertainment
181,A Valley Without Wind,A-Valley-Without-Wind,$14.99,24% (64%,54%),"200,000?..?500,000",00:00 (00:00),"Arcen Games, LLC","Arcen Games, LLC"
151,A Virus Named TOM,A-Virus-Named-TOM,$9.99,34% (71%,65%),"200,000?..?500,000",00:00 (00:00),Misfits Attic,Misfits Attic
212,Abandoned: Chestnut Lodge Asylum,Abandoned-Chestnut-Lodge-Asylum,$6.99,N/A (N/A),0%,"0?..?20,000",00:00 (00:00),Lazy Turtle Games,"Tri Synergy, Inc."
253,Adventures of Shuggy,the-adventures-of-shuggy,$4.99,74% (89%),"200,000?..?500,000",00:00 (00:00),Smudged Cat Games Ltd,Smudged Cat Games Ltd,
204,Aerofly FS 1 Flight Simulator,aerofly-fs,$19.99,21% (61%),"0?..?20,000",00:00 (00:00),IPACS,IPACS,
38,Age of Empires III: Complete Collection,Age-of-Empires-III-Complete-Collection,$39.99,71% (88%,81%),"2,000,000?..?5,000,000",04:36 (01:41),Ensemble Studios,Microsoft Studios
255,Air Conflicts: Pacific Carriers,Air-Conflicts-Pacific-Carriers,$9.99,9% (46%),"100,000?..?200,000",01:27 (00:29),"Games Farm, 3Division",Games Farm,
24,Alan Wake,Alan-Wake,$14.99,80% (91%,83%),"2,000,000?..?5,000,000",02:31 (01:54),Remedy Entertainment,Remedy Entertainment
120,Alan Wake's American Nightmare,alan-wakes-american-nightmare,$8.99,33% (70%,73%),"1,000,000?..?2,000,000",03:55 (02:36),Remedy Entertainment,Remedy Entertainment
333,Alien Shooter 2 Conscription,Alien-Shooter-2-Conscription,$9.99,47% (78%),"50,000?..?100,000",00:00 (00:00),Sigma Team Inc.,Sigma Team Inc.,
197,All Zombies Must Die!: Scorepocalypse,All-Zombies-Must-Die!-Scorepocalypse,$4.99,41% (75%),"20,000?..?50,000",00:00 (00:00),Doublesix Games,Doublesix Games,
159,Analogue: A Hate Story,Analogue-A-Hate-Story,$9.99,90% (94%,62%),"100,000?..?200,000",00:00 (00:00),Love Conquers All Games,Love Conquers All Games
207,Arena Wars 2,Arena-Wars-2,$3.99,4% (32%),"50,000?..?100,000",00:00 (00:00),ExDream GmbH,Just a Game,
54,Assassin's Creed III,assassins-creed-iii,$19.99,39% (74%,80%),"1,000,000?..?2,000,000",03:07 (00:39),Ubisoft Montreal,Ubisoft
348,Atooms to Moolecules Demo,Atooms-to-Moolecules-Demo,Free,N/A (N/A),0%,"0?..?20,000",00:00 (00:00),BitSits Games,BitSits Games
357,Auditorium,Auditorium,$6.99,49% (79%),"50,000?..?100,000",00:00 (00:00),Cipher Prime Studios,Cipher Prime Studios,
240,Avernum 4,Avernum-4,$4.99,N/A (N/A),0%,"50,000?..?100,000",00:00 (00:00),Spiderweb Software,Spiderweb Software
251,Avernum 5,Avernum-5,$4.99,N/A (N/A),0%,"50,000?..?100,000",00:00 (00:00),Spiderweb Software,Spiderweb Software
221,Avernum 6,Avernum-6,$4.99,N/A (N/A),0%,"50,000?..?100,000",00:00 (00:00),Spiderweb Software,Spiderweb Software
79,Avernum: Escape From the Pit,Avernum-Escape-From-the-Pit,$9.99,83% (92%,76%),"100,000?..?200,000",00:00 (00:00),Spiderweb Software,Spiderweb Software
354,AVSEQ,AVSEQ,$1.99,N/A (N/A),0%,"20,000?..?50,000",00:00 (00:00),Big Robot Ltd,Big Robot Ltd
67,Awesomenauts - the 2D moba,Awesomenauts,Free,63% (85%,78%),"2,000,000?..?5,000,000",01:32 (00:49),Ronimo Games,Ronimo Games
313,Ballads of Reemus: When the Bed Bites,Ballads-of-Reemus-When-the-Bed-Bites,$4.99,N/A (N/A),0%,"0?..?20,000",00:00 (00:00),ClickShake Games LLC,ClickShake Games LLC
380,Bang Bang Racing,Bang-Bang-Racing,$9.99,55% (82%),"50,000?..?100,000",00:00 (00:00),Digital Reality Software & Playbox,HandyGames,
311,BANZAI PECAN: The Last Hope For the Young Century,BANZAI-PECAN-The-Last-Hope-For-the-Young-Century,$2.99,55% (82%),"20,000?..?50,000",00:00 (00:00),SERIOUS*IMPACT WORKS,"Zanza Studios, LLC.",
2,Batman: Arkham City - Game of the Year Edition,batman-arkham-city,$19.99,90% (94%,91%),"2,000,000?..?5,000,000",01:59 (01:45),"Rocksteady Studios, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)"
115,Beyond Divinity,Beyond-Divinity,$5.99,13% (52%,73%),"200,000?..?500,000",02:17 (01:31),Larian Studios,Larian Studios
358,Beyond Oasis,Beyond-Oasis,$0.99,N/A (N/A),0%,"0?..?20,000",00:00 (00:00),,SEGA
139,Binary Domain,Binary-Domain,$14.99,63% (85%,68%),"500,000?..?1,000,000",00:46 (01:00),Devil's Details,SEGA
216,BIT.TRIP CORE,BITTRIP-CORE,$9.99,18% (59%),"50,000?..?100,000",00:15 (00:05),Gaijin Games,Gaijin Games,
208,BIT.TRIP VOID,BITTRIP-VOID,$9.99,45% (77%),"20,000?..?50,000",00:15 (00:05),Gaijin Games,Gaijin Games,
99,Blacklight: Retribution,Blacklight-Retribution,Free,39% (74%,75%),"2,000,000?..?5,000,000",01:23 (00:35),"Hardsuit Labs, Inc.","Hardsuit Labs, Inc."
376,Blackwell Convergence,the-blackwell-convergence,$4.99,90% (94%),"100,000?..?200,000",00:00 (00:00),Wadjet Eye Games,Wadjet Eye Games,
113,Blackwell Deception,Blackwell-Deception,$9.99,99% (98%,73%),"50,000?..?100,000",00:00 (00:00),Wadjet Eye Games,Wadjet Eye Games
373,Blackwell Unbound,Blackwell-Unbound,$4.99,87% (93%),"100,000?..?200,000",00:00 (00:00),Wadjet Eye Games,Wadjet Eye Games,
158,Blades of Time,Blades-of-Time,$9.99,66% (86%,63%),"200,000?..?500,000",00:08 (00:02),Gaijin Entertainment Corporation,Gaijin Entertainment Corporation
347,Blood Bowl: Chaos Edition,Blood-Bowl-Chaos-Edition,$14.99,47% (78%),"200,000?..?500,000",03:40 (04:25),Cyanide Studios,Focus Home Interactive,
5,Borderlands 2,Borderlands-2,$19.99,95% (96%,89%),"5,000,000?..?10,000,000",05:50 (01:57),"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
31,Botanicula,Botanicula,$9.99,95% (96%,82%),"200,000?..?500,000",00:09 (00:03),Amanita Design,Amanita Design
233,Bumbledore,Bumbledore,$4.99,N/A (N/A),0%,"0?..?20,000",00:00 (00:00),Nimbly Games,Nimbly Games
340,Call of Duty: Black Ops - Mac Edition,Call-of-Duty-Black-Ops-Mac-Edition,$19.99,19% (60%),"50,000?..?100,000",00:00 (00:00),Aspyr,Aspyr,
104,Call of Duty: Black Ops II,Call-of-Duty-Black-Ops-II,$59.99,55% (82%,74%),"2,000,000?..?5,000,000",02:14 (00:10),Treyarch,Activision
236,Call of the Ninja!,Call-of-the-Ninja!,$6.99,N/A (N/A),0%,"0?..?20,000",00:00 (00:00),Lee Page,TeraBit Software
187,Cannon Fodder 3,Cannon-Fodder-3,$14.99,N/A (N/A/49%),"20,000?..?50,000",00:00 (00:00),Burut CT,Game Factory Interactive,
247,Cargo Commander,Cargo-Commander,$2.99,55% (82%),"100,000?..?200,000",00:00 (00:00),Serious Brew,Missing Link Games,
166,Carrier Command: Gaea Mission,Carrier-Command-Gaea-Mission,$32.99,9% (46%,60%),"200,000?..?500,000",00:00 (00:00),Bohemia Interactive,Bohemia Interactive
355,Castle Crashers,Castle-Crashers,$14.99,95% (96%),"2,000,000?..?5,000,000",03:31 (01:24),The Behemoth,The Behemoth,
70,Chaos on Deponia,Chaos-on-Deponia,$19.99,80% (91%,78%),"200,000?..?500,000",02:01 (02:39),Daedalic Entertainment,Daedalic Entertainment
135,Check vs Mate,Check-vs-Mate,$19.99,18% (59%,69%),"0?..?20,000",00:00 (00:00),Targem Games,Topware Interactive
256,Cherry Tree High Comedy Club,Cherry-Tree-High-Comedy-Club,$6.99,74% (89%),"50,000?..?100,000",00:00 (00:00),773,Nyu Media,
63,Chivalry: Medieval Warfare,Chivalry-Medieval-Warfare,$24.99,58% (83%,79%),"5,000,000?..?10,000,000",02:27 (01:05),Torn Banner Studios,Torn Banner Studios
294,Choice of Kung Fu,Choice-of-Kung-Fu,$4.99,N/A (N/A),0%,"0?..?20,000",00:00 (00:00),Choice of Games,Choice of Games
152,Choplifter HD,Choplifter-HD,$9.99,66% (86%,65%),"50,000?..?100,000",00:00 (00:00),inXile Entertainment,inXile Entertainment
341,Cladun X2,cladun-x2,$9.99,47% (78%),"20,000?..?50,000",00:00 (00:00),System Prisma,"NIS America, Inc.",
192,Clan of Champions,Clan-of-Champions,$1.99,N/A (N/A/42%),"0?..?20,000",03:46 (01:15),ACQUIRE Corp.,"NIS America, Inc.",
304,Close Combat - Panthers in the Fog,close-combat-panthers-in-fog,$39.99,21% (61%),"0?..?20,000",00:00 (00:00),Matrix Games,Slitherine Ltd.,
69,Closure,Closure,$9.99,66% (86%,78%),"200,000?..?500,000",01:01 (00:20),Eyebrow Interactive,Eyebrow Interactive
281,Colour Bind,Colour-Bind,$9.99,N/A (N/A),0%,"0?..?20,000",00:00 (00:00),Finn Morgan,Puppy Punch Productions
68,Condemned: Criminal Origins,Condemned-Criminal-Origins,$14.95,66% (86%,78%),"200,000?..?500,000",00:09 (00:03),Monolith,SEGA
176,Conflict Desert Storm,Conflict-Desert-Storm,$6.99,51% (80%,56%),"50,000?..?100,000",00:00 (00:00),Pivotal Games,Square Enix
185,Confrontation,Confrontation,$9.99,4% (32%,51%),"200,000?..?500,000",00:00 (00:00),Cyanide Studio,Focus Home Interactive
382,Conquest of Elysium 3,Conquest-of-Elysium-3,$9.99,51% (80%),"20,000?..?50,000",00:00 (00:00),Illwinter Game Design,Illwinter Game Design,
252,Containment: The Zombie Puzzler,Containment-The-Zombie-Puzzler,$4.99,77% (90%),"50,000?..?100,000",00:00 (00:00),Bootsnake Games,Bootsnake Games,
