X.,Game,Url,Price,Score.rank.Userscore...Metascore.,Owners,Playtime..Median.,Developer.s.,Publisher.s.
53,140,140,$4.99,90% (94%/80%),"100,000?..?200,000",01:03 (00:41),Carlsen Games,Carlsen Games
171,"10,000,000","10,000,000",$4.99,77% (90%/67%),"100,000?..?200,000",01:15 (01:12),EightyEightGames,EightyEightGames
245,1953 - KGB Unleashed,1953---KGB-Unleashed,$5.99,23% (63%),"100,000?..?200,000",00:00 (00:00),,United Independent Entertainment GmbH
312,3079 -- Block Action RPG,3079----Block-Action-RPG,$4.99,12% (51%),"50,000?..?100,000",00:16 (00:05),Phr00t's Software,Phr00t's Software
261,7 Days to Die,7-Days-to-Die,$24.99,49% (79%),"2,000,000?..?5,000,000",09:38 (02:35),The Fun Pimps,The Fun Pimps Entertainment LLC
500,7 Grand Steps: What Ancients Begat,7-Grand-Steps-What-Ancients-Begat,$19.99,18% (59%),"100,000?..?200,000",00:00 (00:00),Mousechief,Mousechief
479,9.03m,903m,Free,56% (82%),"20,000?..?50,000",00:00 (00:00),Space Budgie,Space Budgie
503,99 Spirits,99-Spirits,$9.99,39% (74%),"50,000?..?100,000",00:00 (00:00),TORaIKI,Fruitbat Factory
163,A Valley Without Wind 2,A-Valley-Without-Wind-2,$14.99,10% (48%/68%),"100,000?..?200,000",00:00 (00:00),"Arcen Games, LLC","Arcen Games, LLC"
174,A Walk in the Dark,A-Walk-in-the-Dark,$6.99,53% (81%/67%),"20,000?..?50,000",00:00 (00:00),,
132,Aarklash: Legacy,Aarklash-Legacy,$15.99,47% (78%/72%),"50,000?..?100,000",00:00 (00:00),Cyanide Studio,Bigben Interactive
81,Ace Combat Assault Horizon - Enhanced Edition,Ace-Combat-Assault-Horizon---Enhanced-Edition,$19.99,19% (60%/77%),"200,000?..?500,000",00:54 (01:09),NAMCO,BANDAI NAMCO Entertainment
501,Affairs of the Court: Choice of Romance,Affairs-of-the-Court-Choice-of-Romance,$5.99,43% (76%),"0?..?20,000",00:00 (00:00),Choice of Games,Choice of Games
400,Age of Conan: Unchained,Age-of-Conan-Unchained,Free,31% (69%),"500,000?..?1,000,000",05:54 (03:56),Funcom,Funcom
166,Age of Empires II HD,Age-of-Empires-II-HD,$19.99,90% (94%/68%),"5,000,000?..?10,000,000",03:38 (01:47),"Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires",Microsoft Studios
383,Agricultural Simulator 2013 - Steam Edition,Agricultural-Simulator-2013---Steam-Edition,$9.99,2% (22%),"50,000?..?100,000",00:40 (00:13),Actalogic,United Independent Entertainment GmbH
325,Agricultural Simulator: Historical Farming,Agricultural-Simulator-Historical-Farming,$9.99,1% (12%),"50,000?..?100,000",00:00 (00:00),Actalogic,United Independent Entertainment GmbH
234,Air Conflicts: Vietnam,Air-Conflicts-Vietnam,$14.99,3% (27%/43%),"20,000?..?50,000",00:00 (00:00),Games Farm,Games Farm
270,Airport Simulator 2014,Airport-Simulator-2014,$9.99,1% (10%),"50,000?..?100,000",00:00 (00:00),United Independent Entertainment GmbH,United Independent Entertainment GmbH
251,Alex Hunter - Lord of the Mind Platinum Edition,Alex-Hunter---Lord-of-the-Mind-Platinum-Edition,$6.99,53% (81%),"50,000?..?100,000",03:31 (01:10),Alawar,Viva Media
227,Alien Rage - Unlimited,Alien-Rage---Unlimited,$19.99,34% (71%/52%),"200,000?..?500,000",00:08 (00:02),CI Games,CI Games
420,Alien Spidy,Alien-Spidy,$9.99,12% (51%),"20,000?..?50,000",00:00 (00:00),Enigma SP,Kalypso Media Digital
221,Alone in the Dark,Alone-in-the-Dark,$9.99,9% (46%/55%),"20,000?..?50,000",00:00 (00:00),"Eden Games, Hydravision Entertainment",THQ Nordic
185,Alone in the Dark: The New Nightmare,Alone-in-the-Dark-The-New-Nightmare,$6.99,19% (60%/66%),"20,000?..?50,000",00:08 (00:02),"Darkworks, Spiral House",THQ Nordic
362,America's Army: Proving Grounds,Americas-Army-Proving-Grounds,Free,45% (77%),"2,000,000?..?5,000,000",02:17 (02:12),U.S. Army,U.S. Army
131,Amnesia: A Machine for Pigs,Amnesia-A-Machine-for-Pigs,$19.99,25% (65%/72%),"2,000,000?..?5,000,000",04:50 (06:20),The Chinese Room,Frictional Games
80,Anachronox,Anachronox,$6.99,51% (80%/77%),"200,000?..?500,000",00:00 (00:00),,Square Enix
487,Angelica Weaver: Catch Me When You Can,Angelica-Weaver-Catch-Me-When-You-Can,$13.99,36% (72%),"20,000?..?50,000",00:00 (00:00),MumboJumbo,MumboJumbo
321,Angry Birds Space,Angry-Birds-Space,$4.99,74% (89%),"20,000?..?50,000",00:00 (00:00),Rovio Entertainment Ltd,Rovio Entertainment Ltd
83,Angry Video Game Nerd Adventures,Angry-Video-Game-Nerd-Adventures,$4.99,77% (90%/77%),"100,000?..?200,000",00:06 (00:02),FreakZone Games,Screenwave Media
102,Anna - Extended Edition,Anna---Extended-Edition,$9.99,27% (66%/75%),"200,000?..?500,000",00:48 (00:31),Dreampainters,Kalypso Media Digital
101,Anodyne,Anodyne,$9.99,71% (88%/75%),"100,000?..?200,000",00:00 (00:00),"Sean Han Tani, Marina Kittaka",Analgesic Productions
91,Anomaly 2,Anomaly-2,$14.99,47% (78%/77%),"200,000?..?500,000",03:18 (01:06),11 bit studios,11 bit studios
280,Anomaly Korea,Anomaly-Korea,$4.99,30% (68%),"100,000?..?200,000",01:59 (01:02),11 bit studios,11 bit studios
380,Anomaly Warzone Earth Mobile Campaign,Anomaly-Warzone-Earth-Mobile-Campaign,$4.99,47% (78%),"100,000?..?200,000",00:52 (01:08),11 bit studios,11 bit studios
273,Another World ??20th Anniversary Edition,Another-World-??20th-Anniversary-Edition,$9.99,63% (85%),"100,000?..?200,000",00:00 (00:00),"Eric Chahi, DotEmu",The Digital Lounge
34,Antichamber,Antichamber,$19.99,93% (95%/82%),"1,000,000?..?2,000,000",01:04 (00:56),Alexander Bruce,Demruth
112,Arma 3,Arma-3,$39.99,74% (89%/74%),"2,000,000?..?5,000,000",12:24 (03:18),Bohemia Interactive,Bohemia Interactive
232,Arma Tactics,Arma-Tactics,$8.99,4% (34%/47%),"200,000?..?500,000",02:23 (01:35),Bohemia Interactive,Bohemia Interactive
179,Armada 2526 Gold Edition,Armada-2526-Gold-Edition,$19.99,18% (59%/66%),"20,000?..?50,000",00:00 (00:00),Ntronium Games,Iceberg Interactive
427,Artemis Spaceship Bridge Simulator,Artemis-Spaceship-Bridge-Simulator,$6.99,71% (88%),"50,000?..?100,000",00:00 (00:00),,
396,Assassin's  Creed IV Black Flag,Assassins-Creed-IV-Black-Flag,$19.99,68% (87%),"1,000,000?..?2,000,000",03:33 (01:57),Ubisoft Montreal,Ubisoft
368,A-Train 8,A-Train-8,$19.99,N/A (N/A),"0?..?20,000",00:00 (00:00),ARTDINK,Degica
39,Avadon 2: The Corruption,Avadon-2-The-Corruption,$9.99,63% (85%/82%),"50,000?..?100,000",00:00 (00:00),Spiderweb Software,Spiderweb Software
230,Bad Bots,Bad-Bots,$4.99,31% (69%/49%),"20,000?..?50,000",00:00 (00:00),Point Five Projects,Digital Tribe
510,Bad Hotel,Bad-Hotel,$4.99,3% (30%),"50,000?..?100,000",00:00 (00:00),Lucky Frame,Lucky Frame
73,Baldur's Gate II: Enhanced Edition,Baldurs-Gate-Enhanced-Edition,$19.99,63% (85%/78%),"500,000?..?1,000,000",07:27 (07:26),Beamdog,Beamdog
78,Baldur's Gate: Enhanced Edition,Baldurs-Gate-II-Enhanced-Edition,$19.99,63% (85%/78%),"500,000?..?1,000,000",26:37 (05:11),Beamdog,Beamdog
496,Ballpoint Universe - Infinite,Ballpoint-Universe---Infinite,$3.99,68% (87%),"100,000?..?200,000",00:00 (00:00),Arachnid Games,Arachnid Games
114,Batman: Arkham Origins,Batman-Arkham-Origins,$19.99,60% (84%/74%),"2,000,000?..?5,000,000",02:42 (01:23),"WB Games Montreal, Splash Damage",Warner Bros. Interactive Entertainment
143,Battle Worlds: Kronos,Battle-Worlds-Kronos,$19.99,23% (63%/71%),"20,000?..?50,000",00:00 (00:00),KING Art,"KING Art, THQ Nordic"
358,Battleship,Battleship,$9.99,N/A (N/A),"0?..?20,000",00:00 (00:00),"Sperasoft, Inc.",PopCap
352,Beast Boxing Turbo,Beast-Boxing-Turbo,$4.99,68% (87%),"20,000?..?50,000",00:00 (00:00),,
105,Beatbuddy: Tale of the Guardians,Beatbuddy-Tale-of-the-Guardians,$9.99,66% (86%/75%),"200,000?..?500,000",04:12 (01:24),Threaks,Threaks
199,bientot-lete,bientot-lete,$9.99,13% (52%/62%),"20,000?..?50,000",00:00 (00:00),Tale of Tales,Tale of Tales
146,Bionic Dues,Bionic-Dues,$9.99,63% (85%/71%),"200,000?..?500,000",00:00 (00:00),"Arcen Games, LLC","Arcen Games, LLC"
1,BioShock Infinite,BioShock-Infinite,$29.99,93% (95%/94%),"2,000,000?..?5,000,000",03:00 (01:02),"Irrational Games, Aspyr (Mac), Virtual Programming (Linux)","2K, Aspyr (Mac)"
116,BIT.TRIP FATE,BITTRIP-FATE,$9.99,22% (62%/74%),"20,000?..?50,000",00:15 (00:05),Gaijin Games,Gaijin Games
18,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,bittrip-presentsrunner2-future-legend-of-rhythm-alien,$14.99,87% (93%/85%),"200,000?..?500,000",00:39 (00:57),Gaijin Games,Gaijin Games
267,Bleed,Bleed,$4.99,84% (92%),"100,000?..?200,000",00:00 (00:00),Ian Campbell,Ian Campbell
246,Blockland,Blockland,$9.99,28% (67%),"500,000?..?1,000,000",52:12 (34:48),"Eric Hartman, Ben Garney, Anthony Rotondo",Step 1 Games LLC
271,Blood Knights,Blood-Knights,$9.99,25% (65%),"50,000?..?100,000",01:33 (01:01),Deck 13,Kalypso Media Digital
187,Blood of the Werewolf,Blood-of-the-Werewolf,$1.99,21% (61%/65%),"50,000?..?100,000",00:00 (00:00),Scientifically Proven,Scientifically Proven
388,Blood Omen 2: Legacy of Kain,Blood-Omen-2-Legacy-of-Kain,$6.99,30% (68%),"100,000?..?200,000",00:27 (00:09),,Square Enix
252,Bloody Trapland,Bloody-Trapland,$9.99,60% (84%),"500,000?..?1,000,000",00:47 (00:48),2Play,2Play
