X.,Game,Release.date,Price,Score.rank.Userscore...Metascore.,Owners,Playtime..Median.,Developer.s.,Publisher.s.,,
1,BioShock-Infinite,25-Mar-13,$29.99,93% (95%,94%),"2,000,000?..?5,000,000",03:00 (01:02),"Irrational Games, Aspyr (Mac), Virtual Programming (Linux)","2K, Aspyr (Mac)",
2,System-Shock-2,10-May-13,$9.99,90% (94%,92%),"500,000?..?1,000,000",00:25 (00:36),"Irrational Games, Looking Glass Studios",Nightdive Studios,
3,FEZ,1-May-13,$9.99,84% (92%,91%),"1,000,000?..?2,000,000",04:34 (03:50),Polytron Corporation,Trapdoor,
4,Deus-Ex-Human-Revolution---Directors-Cut,25-Oct-13,$19.99,80% (91%,91%),"1,000,000?..?2,000,000",05:24 (03:16),"Eidos Montreal, Feral Interactive (Mac)","Square Enix, Feral Interactive (Mac)",
6,Dota-2,9-Jul-13,Free,66% (86%,90%),"100,000,000?..?200,000,000",25:45 (12:33),Valve,Valve,
7,brothers-a-tale-of-two-sons,3-Sep-13,$14.99,90% (94%,90%),"1,000,000?..?2,000,000",30:56 (91:01),Starbreeze Studios AB,505 Games,
5,Spelunky,8-Aug-13,$14.99,80% (91%,90%),"500,000?..?1,000,000",01:40 (01:02),,Mossmouth,
8,Rayman-Legends,3-Sep-13,$29.99,84% (92%,89%),"200,000?..?500,000",02:41 (02:07),,Ubisoft,
10,The-Stanley-Parable,17-Oct-13,$14.99,80% (91%,88%),"2,000,000?..?5,000,000",03:03 (01:27),Galactic Cafe,Galactic Cafe,
9,Guacamelee!-Gold-Edition,8-Aug-13,$14.99,90% (94%,88%),"500,000?..?1,000,000",02:14 (00:59),DrinkBox Studios,DrinkBox Studios,
11,Europa-Universalis-IV,13-Aug-13,$39.99,56% (82%,87%),"1,000,000?..?2,000,000",10:42 (04:45),Paradox Development Studio,Paradox Interactive,
12,The-Swapper,30-May-13,$14.99,93% (95%,87%),"500,000?..?1,000,000",01:43 (01:38),"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",Facepalm Games,
13,Tomb-Raider,4-Mar-13,$19.99,93% (95%,86%),"5,000,000?..?10,000,000",03:12 (00:59),"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",
17,Path-of-Exile,23-Oct-13,Free,84% (92%,86%),"5,000,000?..?10,000,000",11:52 (01:44),Grinding Gear Games,Grinding Gear Games,
14,Saints-Row-IV,19-Aug-13,$14.99,84% (92%,86%),"2,000,000?..?5,000,000",02:49 (01:08),Deep Silver Volition,Deep Silver,
15,Gone-Home,15-Aug-13,$14.99,43% (76%,86%),"500,000?..?1,000,000",00:00 (00:00),Fullbright,Fullbright,
16,Startopia,10-Oct-13,$6.99,74% (89%,86%),"200,000?..?500,000",00:00 (00:00),,Square Enix,
21,Papers-Please,8-Aug-13,$9.99,93% (95%,85%),"2,000,000?..?5,000,000",01:56 (00:45),Lucas Pope,3909,
19,The-Wolf-Among-Us,11-Oct-13,$14.99,97% (97%,85%),"1,000,000?..?2,000,000",06:06 (04:04),Telltale Games,Telltale Games,
22,Rogue-Legacy,27-Jun-13,$14.99,87% (93%,85%),"1,000,000?..?2,000,000",00:57 (01:36),Cellar Door Games,Cellar Door Games,
24,DmC-Devil-May-Cry,24-Jan-13,$29.99,90% (94%,85%),"1,000,000?..?2,000,000",02:45 (02:27),Ninja Theory,Capcom,
18,bittrip-presentsrunner2-future-legend-of-rhythm-alien,26-Feb-13,$14.99,87% (93%,85%),"200,000?..?500,000",00:39 (00:57),Gaijin Games,Gaijin Games,
20,Trials-Evolution-Gold-Edition,21-Mar-13,$19.99,43% (76%,85%),"200,000?..?500,000",00:11 (00:03),"Redlynx Ltd, Ubisoft Shanghaï",Ubisoft,
23,Wizardry-8,10-Sep-13,$9.99,84% (92%,85%),"100,000?..?200,000",00:00 (00:00),Sir-Tech Canada,"Gamepot, Inc., Nightdive Studios",
25,Trine-2-Complete-Story,6-Jun-13,$19.99,93% (95%,84%),"2,000,000?..?5,000,000",02:58 (01:42),Frozenbyte,Frozenbyte,
26,Giana-Sisters-Twisted-Dreams---Rise-of-the-Owlverlord,26-Sep-13,$4.99,66% (86%,84%),"100,000?..?200,000",00:00 (00:00),Black Forest Games,"HandyGames, Black Forest Games",
29,Monaco-Whats-Yours-Is-Mine,24-Apr-13,$14.99,84% (92%,83%),"2,000,000?..?5,000,000",00:58 (01:11),Pocketwatch Games,Pocketwatch Games,
27,Skullgirls,22-Aug-13,$9.99,93% (95%,83%),"1,000,000?..?2,000,000",01:04 (00:36),Lab Zero Games,"Marvelous, Autumn Games",
28,Gunpoint,3-Jun-13,$9.99,97% (97%,83%),"500,000?..?1,000,000",01:09 (01:27),Suspicious Developments,Suspicious Developments,
