X.,Game,Url,Release.date,Price,Score.rank.Userscore...Metascore.,Owners,Playtime..Median.,Developer.s.,Publisher.s.
1035,1849,1849,8-May-14,$14.99,27% (66%),"20,000?..?50,000",08:37 (02:52),SomaSim,SomaSim
374,"""Glow Ball"" - The billiard puzzle game",glow-ball---the-billiard-puzzle-game,19-Feb-14,$4.99,N/A (N/A),"50,000?..?100,000",00:00 (00:00),WTFOMGames,WTFOMGames
561,//N.P.P.D. RUSH//- The milk of Ultraviolet,nppd-rush--the-milk-of-ultraviolet,13-Feb-14,$3.99,7% (41%),"100,000?..?200,000",00:03 (00:01),Rail Slave Games,KISS ltd
153,10 Second Ninja,10-Second-Ninja,5-Mar-14,$1.99,84% (92%/72%),"50,000?..?100,000",03:43 (01:30),Four Circle Interactive,Mastertronic
739,100% Orange Juice,100-orange-juice,16-May-14,$6.99,90% (94%),"200,000?..?500,000",03:18 (01:27),Orange_Juice,Fruitbat Factory
57,1001 Spikes,1001-Spikes,3-Jun-14,$14.99,71% (88%/80%),"50,000?..?100,000",00:00 (00:00),"Nicalis, Inc.","Nicalis, Inc."
1047,1953: NATO vs Warsaw Pact,1953-NATO-vs-Warsaw-Pact,4-Dec-14,$19.99,N/A (N/A),"0?..?20,000",00:00 (00:00),Wastelands Interactive,Wastelands Interactive
717,1954 Alcatraz,1954-Alcatraz,11-Mar-14,$9.99,33% (70%),"100,000?..?200,000",01:08 (00:40),"Daedalic Entertainment, Irresponsible Games",Daedalic Entertainment
768,1HEART,1HEART,13-Oct-14,$9.99,31% (69%),"0?..?20,000",00:00 (00:00),Chicken in The Corn,Chicken in The Corn
699,1Quest,1Quest,3-Dec-14,$3.99,17% (58%),"50,000?..?100,000",00:00 (00:00),"Ratz 'N' Godz, Storybird Games",Ratz 'N' Godz
889,3 Stars of Destiny,3-Stars-of-Destiny,28-Mar-14,$14.99,33% (70%),"20,000?..?50,000",04:35 (01:31),Aldorlea Games,Degica
1410,300 Dwarves,300-Dwarves,5-Jun-14,$6.99,11% (49%),"0?..?20,000",00:00 (00:00),Artifex Mundi,"Viva Media, Inc"
