#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),,
1,Grand-Theft-Auto-V,13-Apr-15,$29.99,31% (69%,96%),"5,000,000?..?10,000,000",08:25 (02:08),Rockstar North,Rockstar Games,
2,Divinity-Original-Sin,27-Oct-15,$39.99,74% (89%,94%),"1,000,000?..?2,000,000",04:26 (02:57),Larian Studios,Larian Studios,
3,The-Witcher-3-Wild-Hunt,18-May-15,$39.99,97% (97%,93%),"5,000,000?..?10,000,000",08:11 (01:24),CD PROJEKT RED,CD PROJEKT RED,
4,Undertale,15-Sep-15,$9.99,93% (95%,92%),"2,000,000?..?5,000,000",02:53 (01:10),tobyfox,tobyfox,
5,METAL-GEAR-SOLID-V-THE-PHANTOM-PAIN,1-Sep-15,$19.99,71% (88%,91%),"1,000,000?..?2,000,000",06:15 (02:07),Konami Digital Entertainment,Konami Digital Entertainment,
6,Pillars-of-Eternity,26-Mar-15,$29.99,60% (84%,89%),"1,000,000?..?2,000,000",04:50 (07:12),Obsidian Entertainment,Paradox Interactive,
8,Ori-and-the-Blind-Forest,10-Mar-15,0,95% (96%,88%),"1,000,000?..?2,000,000",01:14 (01:41),Moon Studios GmbH,Microsoft Studios,
7,Nuclear-Throne,5-Dec-15,$11.99,95% (96%,88%),"200,000?..?500,000",03:10 (01:40),Vlambeer,Vlambeer,
9,Kerbal-Space-Program,27-Apr-15,$39.99,77% (90%,88%),"2,000,000?..?5,000,000",06:51 (01:36),Squad,Private Division,
11,Crypt-of-the-NecroDancer,23-Apr-15,$14.99,95% (96%,87%),"1,000,000?..?2,000,000",01:05 (00:55),Brace Yourself Games,"Brace Yourself Games, Klei Entertainment",
10,Dying-Light,26-Jan-15,$39.99,83% (92%,87%),"2,000,000?..?5,000,000",05:22 (02:06),Techland,Techland Publishing,
12,oddworld-abes-oddysee---new-n-tasty,25-Feb-15,$19.99,71% (88%,87%),"200,000?..?500,000",00:00 (00:00),"Just Add Water (Developments), Ltd.","Oddworld Inhabitants, Inc.",
17,Mushihimesama,12-Nov-15,$19.99,97% (97%,86%),"20,000?..?50,000",00:00 (00:00),"CAVE Interactive CO.,LTD.",Degica,
16,Black-Mesa,5-May-15,$19.99,87% (93%,86%),"500,000?..?1,000,000",02:23 (01:18),Crowbar Collective,Crowbar Collective,
13,Rocket-League,7-Jul-15,$9.99,83% (92%,86%),"5,000,000?..?10,000,000",08:42 (03:42),"Psyonix, Inc.","Psyonix, Inc.",
14,Her-Story,24-Jun-15,$5.99,77% (90%,86%),"200,000?..?500,000",00:00 (00:00),Sam Barlow,Sam Barlow,
15,DiRT-Rally,7-Dec-15,$39.99,74% (89%,86%),"1,000,000?..?2,000,000",04:18 (01:13),"Codemasters Racing Studio, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)",
18,Homeworld-Remastered-Collection,25-Feb-15,$34.99,66% (86%,86%),"500,000?..?1,000,000",05:04 (07:37),"Gearbox Software, Aspyr (Mac)","Gearbox Publishing, Aspyr (Mac)",
25,Roche-Fusion,23-Jan-15,$12,93% (95%,85%),"0?..?20,000",00:00 (00:00),amulware,amulware,
24,Mighty-Switch-Force!-Hyper-Drive-Edition,25-Jun-15,$9.99,87% (93%,85%),"0?..?20,000",00:04 (00:01),WayForward,WayForward,
20,Cities-Skylines,10-Mar-15,$29.99,80% (91%,85%),"2,000,000?..?5,000,000",07:52 (01:46),Colossal Order Ltd.,Paradox Interactive,
23,System-Shock-Enhanced-Edition,22-Sep-15,$9.99,80% (91%,85%),"200,000?..?500,000",02:00 (01:19),"Looking Glass Studios, Nightdive Studios",Nightdive Studios,
22,Zenzizenzic,23-Jul-15,$9.99,71% (88%,85%),"0?..?20,000",00:00 (00:00),bitHuffel,Adult Swim Games,
