#,Game,Games,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),,,,,,,,,
1,Out of the Park Baseball 17,Out-of-the-Park-Baseball-17,22-Mar-16,$19.99,80% (91%,92%),"100,000?..?200,000",02:42 (00:54),Out of the Park Developments,Out of the Park Developments,,,,,,,,
2,Tumblestone,Tumblestone,12-Jul-16,$24.99,84% (92%,91%),"100,000?..?200,000",02:34 (02:52),The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,,,,,,,,
4,Stephen's Sausage Roll,Stephens-Sausage-Roll,17-Apr-16,$29.99,97% (97%,90%),"20,000?..?50,000",00:00 (00:00),increpare games,increpare games,,,,,,,,
5,N++ (NPLUSPLUS),N++-(NPLUSPLUS),25-Aug-16,$14.99,95% (96%,90%),"100,000?..?200,000",01:20 (01:49),Metanet Software Inc.,Metanet Software Inc.,,,,,,,,
3,Tadpole Treble,Tadpole-Treble,2-Sep-16,$4.99,93% (95%,90%),"0?..?20,000",01:03 (00:21),BitFinity,"BitFinity, Sunken Treasure Games",,,,,,,,
6,NBA 2K17,NBA-2K17,20-Sep-16,$59.99,13% (52%,90%),"500,000?..?1,000,000",04:39 (06:52),Visual Concepts,2K,,,,,,,,
7,Stardew Valley,Stardew-Valley,26-Feb-16,$14.99,97% (97%,89%),"2,000,000?..?5,000,000",06:41 (01:22),ConcernedApe,Chucklefish,,,,,,,,
8,DARK SOULS III,DARK-SOULS-III,11-Apr-16,$59.99,77% (90%,89%),"2,000,000?..?5,000,000",08:37 (01:47),"FromSoftware, Inc.","FromSoftware, Inc., BANDAI NAMCO Entertainment",,,,,,,,
9,Ori and the Blind Forest: Definitive Edition,Ori-and-the-Blind-Forest:-Definitive-Edition,27-Apr-16,$19.99,95% (96%,88%),"500,000?..?1,000,000",03:09 (01:28),Moon Studios GmbH,Microsoft Studios,,,,,,,,
10,Owlboy,Owlboy,1-Nov-16,$24.99,77% (90%,88%),"200,000?..?500,000",02:54 (04:44),D-Pad Studio,D-Pad Studio,,,,,,,,
11,XCOM 2,XCOM-2,4-Feb-16,$59.99,53% (81%,88%),"1,000,000?..?2,000,000",08:59 (04:59),"Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)","2K, Feral Interactive (Mac), Feral Interactive (Linux)",,,,,,,,
12,Sid Meier's Civilization VI,Sid-Meiers-Civilization-VI,20-Oct-16,$59.99,30% (68%,88%),"2,000,000?..?5,000,000",08:42 (03:56),"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,,,,,,,
16,STEINS;GATE,STEINSGATE,8-Sep-16,$29.99,97% (97%,87%),"100,000?..?200,000",02:49 (05:49),MAGES. Inc.,"Spike Chunsoft Co., Ltd.",,,,,,,,
13,INSIDE,INSIDE,7-Jul-16,$19.99,93% (95%,87%),"500,000?..?1,000,000",01:47 (02:47),Playdead,Playdead,,,,,,,,
14,The Witness,The-Witness,26-Jan-16,$39.99,63% (85%,87%),"500,000?..?1,000,000",04:55 (03:16),"Thekla, Inc.","Thekla, Inc.",,,,,,,,
15,HEX: Shards of Fate,HEX:-Shards-of-Fate,19-Apr-16,Free,25% (65%,87%),"200,000?..?500,000",00:40 (00:13),Hex Entertainment,Hex Entertainment,,,,,,,,
22,Day of the Tentacle Remastered,Day-of-the-Tentacle-Remastered,21-Mar-16,$14.99,97% (97%,86%),"200,000?..?500,000",00:00 (00:00),Double Fine Productions,Double Fine Productions,,,,,,,,
20,Pony Island,Pony-Island,4-Jan-16,$4.99,93% (95%,86%),"200,000?..?500,000",01:09 (01:04),Daniel Mullins Games,Daniel Mullins Games,,,,,,,,
17,Rise of the Tomb Raider,Rise-of-the-Tomb-Raider,9-Feb-16,$59.99,84% (92%,86%),"2,000,000?..?5,000,000",04:30 (01:21),"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux), Nixxes software","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",,,,,,,,
18,F1 2016,F1-2016,18-Aug-16,$59.99,56% (82%,86%),"200,000?..?500,000",02:40 (04:24),"Codemasters, Feral Interactive (Mac)","Codemasters, Feral Interactive (Mac)",,,,,,,,
19,Dishonored 2,Dishonored-2,11-Nov-16,$39.99,49% (79%,86%),"1,000,000?..?2,000,000",04:56 (02:22),Arkane Studios,Bethesda Softworks,,,,,,,,
21,Total War: WARHAMMER,Total-War:-WARHAMMER,24-May-16,$59.99,41% (75%,86%),"1,000,000?..?2,000,000",05:03 (02:18),"CREATIVE ASSEMBLY, Feral Interactive (Linux), Feral Interactive (Mac)","SEGA, Feral Interactive (Linux), Feral Interactive (Mac)",,,,,,,,
28,Shadow Tactics: Blades of the Shogun,Shadow-Tactics:-Blades-of-the-Shogun,6-Dec-16,$39.99,93% (95%,85%),"500,000?..?1,000,000",03:26 (04:08),Mimimi Productions,Daedalic Entertainment,,,,,,,,
30,The Last Door: Season 2 - Collector's Edition,The-Last-Door:-Season-2---Collectors-Edition,29-Mar-16,$9.99,93% (95%,85%),"50,000?..?100,000",00:00 (00:00),The Game Kitchen,Phoenix Online Publishing,,,,,,,,
24,DOOM,DOOM,12-May-16,$19.99,84% (92%,85%),"2,000,000?..?5,000,000",03:01 (00:46),id Software,Bethesda Softworks,,,,,,,,
25,Thumper,Thumper,10-Oct-16,$19.99,84% (92%,85%),"100,000?..?200,000",01:29 (01:36),Drool,Drool,,,,,,,,
27,Shu,Shu,4-Oct-16,$9.99,71% (88%,85%),"20,000?..?50,000",00:00 (00:00),"Coatsink, Secret Lunch",Coatsink,,,,,,,,
23,Falcon 4.0,Falcon-40,8-Jan-16,$6.99,38% (73%,85%),"0?..?20,000",00:00 (00:00),Microprose,Retroism,,,,,,,,
26,Sengoku Jidai: Shadow of the Shogun,Sengoku-Jidai:-Shadow-of-the-Shogun,19-May-16,$29.99,36% (72%,85%),"0?..?20,000",00:00 (00:00),Byzantine Games,Slitherine Ltd.,,,,,,,,
29,Chime Sharp,Chime-Sharp,19-Jul-16,$9.99,28% (67%,85%),"0?..?20,000",00:00 (00:00),"Ste Curran, Twistplay",Chilled Mouse,,,,,,,,
38,Hyper Light Drifter,Hyper-Light-Drifter,31-Mar-16,$19.99,90% (94%,84%),"500,000?..?1,000,000",02:48 (02:39),Heart Machine,Heart Machine,,,,,,,,
