#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),,,,,,,,
4449,Argo,22-Jun-17,Free,10% (47%),"2,000,000?..?5,000,000",20:43 (00:51),Bohemia Interactive,Bohemia Interactive,,,,,,,,
2233,CryptoMoneya,3-Sep-17,$0.99,10% (47%),"100,000?..?200,000",00:00 (00:00),azimut team,azimut team,,,,,,,,
6604,High-Profits,12-Jan-17,N/A,10% (47%),"100,000?..?200,000",12:07 (04:02),Double Coconut,Double Coconut,,,,,,,,
3295,The-Guild-3,26-Sep-17,$29.99,10% (47%),"50,000?..?100,000",14:15 (09:29),"GolemLabs, Purple Lamp Studios",THQ Nordic,,,,,,,,
5238,GRUZCHIK,13-Mar-17,$0.99,10% (47%),"50,000?..?100,000",01:58 (00:39),,,,,,,,,,
1443,Other-Worlds-India,20-Jan-17,$0.99,10% (47%),"20,000?..?50,000",00:00 (00:00),SharF Co.,SharF Co.,,,,,,,,
2136,Fear-For-Freedom,31-Aug-17,Free,10% (47%),"20,000?..?50,000",00:00 (00:00),Grey Gods,Grey Gods,,,,,,,,
2450,Lucky-Panda,7-Nov-17,$3.99,10% (47%),"0?..?20,000",00:00 (00:00),TSS Studio,TSS Studio,,,,,,,,
3655,CastleMiner-Warfare,17-Aug-17,$4.99,10% (47%),"0?..?20,000",00:01 (00:00),DigitalDNA Games LLC,DigitalDNA Games LLC,,,,,,,,
3726,Battle-Islands-Commanders,14-Feb-17,Free,10% (48%),"200,000?..?500,000",00:01 (00:00),DR Studios,505 Games,,,,,,,,
4301,Spacelords,22-Sep-17,Free,10% (48%),"200,000?..?500,000",01:53 (01:55),MercurySteam,Mercury Steam Entertainment s.l.,,,,,,,,
2799,Creature-Clicker---Capture-Train-Ascend!,28-Apr-17,$1.99,10% (48%),"100,000?..?200,000",00:00 (00:00),ColloseusX,Phat Phrog Studios,,,,,,,,
3141,YouTube-VR,14-Dec-17,Free,10% (48%),"50,000?..?100,000",00:39 (00:55),Google,Google,,,,,,,,
4371,Ways-of-History,1-Sep-17,Free,10% (48%),"50,000?..?100,000",00:00 (00:00),Glyph Worlds,Glyph Worlds,,,,,,,,
4596,Ê±âÂ??≥Ê?/Han-Xiongnu-Wars,7-Dec-17,$11.99,10% (48%),"50,000?..?100,000",03:00 (01:00),"Chongqing Shangshixuan Technology Co., Ltd.,","Chongqing Shangshixuan Technology Co., Ltd.,",,,,,,,,
4923,Jackpot-Poker-by-PokerStars,20-Mar-17,N/A,10% (48%),"50,000?..?100,000",00:38 (00:44),PokerStars Mobile Limited,PokerStars Mobile Limited,,,,,,,,
2546,Hell-Quest,18-Jul-17,$0.99,10% (48%),"20,000?..?50,000",00:00 (00:00),YarGri,YarGri,,,,,,,,
3034,Survive-the-Nights,21-Dec-17,$24.99,10% (48%),"20,000?..?50,000",00:10 (00:03),a2z Interactive,a2z Interactive,,,,,,,,
1933,To-The-Light,3-Jul-17,$8.99,10% (48%),"0?..?20,000",00:00 (00:00),ZOV GAME STUDIO,ZOV GAME STUDIO,,,,,,,,
2894,SpaceShot,20-Sep-17,$0.99,10% (48%),"0?..?20,000",00:00 (00:00),Shevchenko Technology,Shevchenko Technology,,,,,,,,
2903,Dude-Simulator,13-Jul-17,$4.99,10% (48%),"0?..?20,000",00:11 (00:03),Kiddy,Kiddy,,,,,,,,
5649,Killers-and-Thieves,23-May-17,$9.99,10% (48%),"0?..?20,000",00:00 (00:00),Alex Thomas,Stoic,,,,,,,,
336,Syberia-3,20-Apr-17,$29.99,10% (48%/51%),"50,000?..?100,000",12:35 (04:11),Microids,Microids,,,,,,,,
330,TransRoad-USA,9-Nov-17,$29.99,10% (48%/53%),"0?..?20,000",00:01 (00:00),Deck13 Hamburg,astragon Entertainment,,,,,,,,
291,WWE-2K18,17-Oct-17,$59.99,10% (48%/64%),"50,000?..?100,000",04:18 (02:51),"Visual Concepts, Yuke's Co., LTD",2K,,,,,,,,
5246,HackyZack,28-Mar-17,$9.99,100% (100%),"100,000?..?200,000",01:17 (01:16),Spaceboy Games,Humble Bundle,,,,,,,,
566,Neko-Navy,14-Jun-17,$10.99,100% (100%),"0?..?20,000",00:00 (00:00),DeathMofuMofu,Fruitbat Factory,,,,,,,,
681,Splody,21-Mar-17,$6.99,100% (100%),"0?..?20,000",01:56 (00:58),Dashing Strike,Dashing Strike,,,,,,,,
977,Graze-Counter,28-Jul-17,$9.99,100% (100%),"0?..?20,000",02:42 (03:34),Bikkuri Software,Henteko Doujin,,,,,,,,
2306,Kimmy,18-Apr-17,$9.99,100% (100%),"0?..?20,000",00:00 (00:00),Star Maid Games,N/A,,,,,,,,
2539,In-Your-Face-TD,22-Mar-17,Free,100% (100%),"0?..?20,000",00:00 (00:00),BitBreak I/S,BitBreak I/S,,,,,,,,
2576,Hop-Step-Sing!-Kimamani?ÜSummer-vacation-(HQ-Edition),17-Aug-17,$6.99,100% (100%),"0?..?20,000",00:00 (00:00),"Kodansha, Polygon Pictures Inc., Lantis",Degica,,,,,,,,
4613,Dujanah,19-Sep-17,$6.99,100% (100%),"0?..?20,000",00:04 (00:04),J. King-Spooner,erm...,,,,,,,,
4854,Code-7-A-Story-Driven-Hacking-Adventure,11-Aug-17,$16.99,100% (100%),"0?..?20,000",00:00 (00:00),Goodwolf Studio,Goodwolf Studio,,,,,,,,
5442,Lupinball,17-Aug-17,$9.99,100% (100%),"0?..?20,000",00:00 (00:00),Craftven,Craftven,,,,,,,,
5812,Induction,7-Feb-17,$9.99,100% (100%),"0?..?20,000",00:00 (00:00),Bryan Gale,Bryan Gale,,,,,,,,
137,Gigantic,19-Jul-17,N/A,100% (100%/76%),"2,000,000?..?5,000,000",00:10 (00:06),Motiga Inc.,Perfect World Entertainment,,,,,,,,
59,HoPiKo,6-Jan-17,$6.99,100% (100%/82%),"50,000?..?100,000",00:00 (00:00),Laser Dog,Merge Games,,,,,,,,
2251,Warhammer-40000-Eternal-Crusade,16-Mar-17,Free,11% (49%),"500,000?..?1,000,000",02:10 (00:35),Behaviour Interactive Inc.,Behaviour Interactive Inc.,,,,,,,,
395,Incline,9-Oct-17,Free,11% (49%),"50,000?..?100,000",00:00 (00:00),Homewreckers Studio,Homewreckers Studio,,,,,,,,
5171,War-Planet-Online-Global-Conquest,19-Dec-17,Free,11% (49%),"50,000?..?100,000",00:00 (00:00),Gameloft,Gameloft,,,,,,,,
3110,Call-of-Duty-Modern-Warfare-Remastered,27-Jul-17,$39.99,11% (49%),"20,000?..?50,000",00:15 (00:13),"Raven Software, Beenox",Activision,,,,,,,,
3449,The-Exiled,23-Feb-17,Free,11% (49%),"20,000?..?50,000",00:00 (00:00),Fairytale Distillery,Fairytale Distillery,,,,,,,,
4844,The-Song-of-Terminus-ÁµÇÁ??ÑËø¥??Ë≠∑Á??Ö‰?Ê≠?Oct-26," 2017""",Free,11% (49%),"20,000?..?50,000",00:00 (00:00),"?âË≤¢?âÊñØ?æÈ?Á≤?,?âË≤¢?âÊñØ?æÈ?Á≤?",,,,,,,,,
6746,Ninja-Stealth-2,30-Jan-17,$0.49,11% (49%),"20,000?..?50,000",04:06 (03:27),SC Jogos,SC Jogos,,,,,,,,
6792,Bloody-Boobs,10-Feb-17,$2.99,11% (49%),"20,000?..?50,000",00:33 (00:48),GK,Dagestan Technology,,,,,,,,
5256,Free-Bowling-3D,7-Oct-17,N/A,11% (49%),"0?..?20,000",00:00 (00:00),"38,9_Degrees","38,9_Degrees",,,,,,,,
168,Dead-Rising-4,14-Mar-17,$29.99,11% (49%/74%),"100,000?..?200,000",01:37 (02:00),"Capcom Game Studio Vancouver, Inc.",Capcom,,,,,,,,
20,PLAYERUNKNOWNS-BATTLEGROUNDS,21-Dec-17,$29.99,11% (49%/86%),"50,000,000?..?100,000,000",12:14 (03:49),PUBG Corporation,PUBG Corporation,,,,,,,,
2171,Trump-Simulator-2017,11-Feb-17,$0.49,11% (50%),"200,000?..?500,000",00:00 (00:00),"Brimo Studio, Sacred Walrus","Brimo Studio, Sacred Walrus",,,,,,,,
6485,Nuclear-Contingency,2-Jan-17,$0.99,11% (50%),"200,000?..?500,000",04:08 (02:45),Amaterasu Software,Amaterasu Software,,,,,,,,
6946,Snowman,27-Jan-17,$0.99,11% (50%),"200,000?..?500,000",01:34 (01:35),,,,,,,,,,
5440,The-Pasture,17-Jan-17,$0.99,11% (50%),"100,000?..?200,000",01:11 (00:26),Mikhail Maksimov,Sometimes You,,,,,,,,
6321,IKEA-VR-Pancake-Kitchen,29-May-17,Free,11% (50%),"100,000?..?200,000",00:00 (00:00),IKEA Communications AB,IKEA Communications AB,,,,,,,,
1041,Co-Co-CORN-MAFIA,11-Aug-17,$0.99,11% (50%),"50,000?..?100,000",03:49 (02:32),,,,,,,,,,
1602,Mad-Driver,27-Aug-17,$0.99,11% (50%),"50,000?..?100,000",02:26 (02:22),,,,,,,,,,
2652,La-Tale---Evolved,29-Nov-17,Free,11% (50%),"50,000?..?100,000",00:00 (00:00),Actoz Soft,Papaya Play,,,,,,,,
3065,Aces-High-III,23-Aug-17,Free,11% (50%),"50,000?..?100,000",00:00 (00:00),HiTech Creations,HiTech Creations,,,,,,,,
3268,Oracle,28-Feb-17,$0.99,11% (50%),"50,000?..?100,000",00:00 (00:00),Watercolor Games,Watercolor Games,,,,,,,,
3376,The-Archotek-Project,28-Apr-17,$4.99,11% (50%),"50,000?..?100,000",02:13 (03:25),The Archotek Project Team,The Archotek Project Team,,,,,,,,
5161,A-Wonder,13-Nov-17,Free,11% (50%),"50,000?..?100,000",00:00 (00:00),Class of 2016-2017,Campus ADN,,,,,,,,
2769,Stickman-Wars,12-Aug-17,$0.99,11% (50%),"20,000?..?50,000",00:00 (00:00),,,,,,,,,,
4045,Cabals-Card-Blitz,8-Feb-17,Free,11% (50%),"20,000?..?50,000",00:00 (00:00),Kyy Games,BISBOG SA,,,,,,,,
6058,Road-Dogs,26-Sep-17,Free,11% (50%),"20,000?..?50,000",00:00 (00:00),Teletower Studios,Teletower Studios,,,,,,,,
6870,Jump-Like-A-Pirate,7-Feb-17,$2.99,11% (50%),"20,000?..?50,000",03:42 (04:25),Pirate Games,Enjoy Games,,,,,,,,
1675,Terra-Mystica,8-Jun-17,$14.99,11% (50%),"0?..?20,000",00:00 (00:00),DIGIDICED,DIGIDICED,,,,,,,,
2858,Crafting-Dead,18-Aug-17,$9.99,11% (50%),"0?..?20,000",00:00 (00:00),Ferullo Gaming,Ferullo Gaming,,,,,,,,
3039,MILKY-BOOBS,19-Dec-17,$4.99,11% (50%),"0?..?20,000",00:00 (00:00),DRUNKEN APES,DRUNKEN APES,,,,,,,,
3171,Wordlase,29-Apr-17,$2.99,11% (50%),"0?..?20,000",00:00 (00:00),DeXP,DeXP,,,,,,,,
3373,Ballistic-Mini-Golf,24-Oct-17,$4.99,11% (50%),"0?..?20,000",00:00 (00:00),Microlith Games,Microlith Games,,,,,,,,
3738,Jelly-in-the-sky,11-Dec-17,$5.99,11% (50%),"0?..?20,000",00:00 (00:00),Zolden Games,Zolden Games,,,,,,,,
6394,JCB-Pioneer-Mars,1-Sep-17,$24.99,11% (50%),"0?..?20,000",00:00 (00:00),Atomicom,GamesCo,,,,,,,,
310,TARTARUS,21-Nov-17,$19.99,11% (50%/59%),"0?..?20,000",00:00 (00:00),Abyss Gameworks,Abyss Gameworks,,,,,,,,
