"","word","n"
"1","nintendoswitch",663
"2","inktober",435
"3","sans",353
"4","inktober2018",289
"5","<U+7E4B><U+304C><U+308A>",182
"6","frisk",178
"7","chara",167
"8","<U+30EB><U+30FC><U+30C8>",152
"9","<U+307E>",142
"10","au",142
"11","<U+307F>",134
"12","<U+30B2><U+30FC><U+30E0>",116
"13","game",108
"14","switch",106
"15","<U+30B5><U+30F3><U+30BA>",94
"16","undyne",94
"17","<U+30D5><U+30EA>",93
"18","<U+3088>",89
"19","flowey",87
"20","papyrus",86
"21","<U+3061><U+3083><U+3093>",84
"22","10",83
"23","fanart",83
"24","time",81
"25","youtube",76
"26","<U+30A2><U+30F3><U+30C0>",75
"27","見",71
"28","5",69
"29","目",69
"30","<U+3051><U+3069>",66
"31","<U+30AD><U+30E3><U+30E9>",66
"32","<U+305F><U+3089>",64
"33","<U+308A>",64
"34","<U+304F>",61
"35","<U+30B9><U+30AF>",61
"36","<U+7D75>描<U+304D>",60
"37","live",60
"38","undertaleau",59
"39","<U+7D75>",58
"40","stream",58
"41","<U+3066><U+3044>",57
"42","<U+306D>",57
"43","el",57
"44","<U+5B9F>況",56
"45","drawing",55
"46","<U+3057><U+307E>",54
"47","<U+30A4><U+30E9><U+30B9><U+30C8>",54
"48","mew",54
"49","版",54
"50","halloween",53
"51","<U+30AF><U+30EA><U+30A2>",52
"52","<U+30FC>",52
"53","4",52
"54","love",52
"55","twitch",52
"56","日",52
"57","<U+3044><U+3044>",51
"58","<U+308B>",51
"59","8",51
"60","la",51
"61","人",51
"62","gaster",50
"63","tobyfox",50
"64","中",50
"65","<U+3041>",49
"66","underinktobertale",49
"67","<U+30A2><U+30F3><U+30C6>",48
"68","<U+30CD><U+30BF>",48
"69","6",48
"70","<U+3051>",47
"71","<U+30A4><U+30F3>",47
"72","mettaton",46
"73","注意",46
"74","ink",45
"75","<U+308F>",44
"76","dia",44
"77","toriel",44
"78","<U+30D7><U+30EC><U+30A4>",43
"79","asriel",43
"80","muffet",43
