"","word","n"
"1","undertale",4281
"2","t.co",3456
"3","https",3455
"4","<U+306E>",1048
"5","nintendoswitch",662
"6","<U+305F>",630
"7","<U+306B>",604
"8","<U+3066>",536
"9","<U+3068>",536
"10","<U+304C>",465
"11","<U+306F>",457
"12","inktober",435
"13","<U+3092>",406
"14","<U+3067>",391
"15","sans",353
"16","<U+3063>",335
"17","<U+3063><U+3066>",326
"18","<U+306A>",305
"19","inktober2018",289
"20","<U+3057><U+305F>",287
"21","<U+3044>",273
"22","<U+3057>",270
"23","day",254
"24","<U+30A2><U+30F3><U+30C0><U+30FC>",242
"25","<U+30C6><U+30FC><U+30EB>",242
"26","<U+305F><U+3044>",223
"27","<U+3082>",208
"28","描",199
"29","好<U+304D>",195
"30","<U+3055><U+3093>",189
"31","<U+306A><U+3044>",186
"32","<U+304B>",182
"33","<U+7E4B><U+304C><U+308A>",181
"34","frisk",178
"35","<U+3060>",177
"36","<U+3067><U+3059>",175
"37","chara",167
"38","de",156
"39","<U+308C>",155
"40","<U+30EB><U+30FC><U+30C8>",152
"41","<U+307E>",142
"42","au",142
"43","2",139
"44","<U+307E><U+3059>",135
"45","<U+307F>",134
"46","<U+304B><U+3089>",133
"47","<U+304D>",132
"48","<U+3084>",129
"49","<U+30B2><U+30FC><U+30E0>",116
"50","3",112
"51","<U+3055>",108
"52","1",108
"53","game",108
"54","switch",106
"55","<U+30B5><U+30F3><U+30BA>",94
"56","undyne",94
"57","<U+30D5><U+30EA>",93
"58","<U+304A>",92
"59","<U+3088>",89
"60","<U+3093>",88
"61","flowey",87
"62","papyrus",86
"63","<U+3061><U+3083><U+3093>",84
"64","10",83
"65","fanart",82
"66","<U+3044><U+308B>",81
"67","time",81
"68","art",79
"69","<U+306E><U+3067>",78
"70","youtube",76
"71","<U+30A2><U+30F3><U+30C0>",75
"72","見",71
"73","<U+3059><U+308B>",70
"74","5",69
"75","目",69
"76","<U+3046>",66
"77","<U+3051><U+3069>",66
"78","<U+30AD><U+30E3><U+30E9>",66
"79","<U+305F><U+3089>",64
"80","<U+308A>",64
"81","<U+3089>",63
"82","<U+304F>",61
"83","<U+30B9><U+30AF>",61
"84","<U+7D75>描<U+304D>",60
"85","live",60
"86","<U+3053><U+308C>",59
"87","<U+7D75>",58
"88","stream",58
"89","undertaleau",58
"90","<U+3066><U+3044>",57
"91","<U+306D>",57
"92","el",57
"93","<U+5B9F>況",56
"94","<U+3042><U+308B>",55
"95","drawing",55
"96","<U+3048>",54
"97","<U+3057><U+307E>",54
"98","<U+30A4><U+30E9><U+30B9><U+30C8>",54
"99","mew",54
"100","版",54
"101","halloween",53
"102","<U+30AF><U+30EA><U+30A2>",52
"103","<U+30FC>",52
"104","4",52
"105","love",52
"106","twitch",52
"107","日",52
"108","<U+3044><U+3044>",51
"109","<U+308B>",51
"110","8",51
"111","人",51
"112","gaster",50
"113","la",50
"114","tobyfox",50
"115","中",50
"116","<U+3041>",49
"117","<U+3088><U+3046>",49
"118","underinktobertale",49
"119","<U+30A2><U+30F3><U+30C6>",48
"120","<U+30CD><U+30BF>",48
"121","6",48
"122","<U+3051>",47
"123","<U+3068><U+3044><U+3046>",47
"124","<U+30A4><U+30F3>",47
"125","<U+3053><U+306E>",46
"126","mettaton",46
"127","注意",46
"128","<U+3067><U+3082>",44
"129","<U+308F>",44
"130","dia",44
"131","toriel",44
"132","<U+305B>",43
"133","<U+30D7><U+30EC><U+30A4>",43
"134","asriel",43
"135","ink",43
"136","muffet",43
"137","myart",43
"138","napstablook",43
"139","<U+3066><U+308B>",42
"140","<U+6226>",42
"141","play",42
"142","<U+304B><U+306A>",41
"143","<U+30E1><U+30BF>",41
"144","<U+3060><U+3051><U+3069>",40
"145","fangamer",40
"146","ω",40
"147","落書<U+304D>",40
"148","<U+3057><U+304B>",39
"149","<U+305F><U+3093>",39
"150","<U+3060><U+3051>",39
"151","7",39
"152","en",39
"153","nintendo",39
"154","<U+3054>",38
"155","<U+3085>",38
"156","<U+30C8><U+30F3>",38
"157","run",38
"158","初",38
"159","<U+3053><U+3068>",37
"160","記念",37
"161","<U+3042>",36
"162","<U+305D><U+3046>",36
