1,2
"ip address","ip_address"
"user-agent string","user-agent_string"
"browser type","browser_type"
"operating system","operating_system"
"referral URLs","referral_URLs"
"device information","device_information"
"ids","id"
"device id","device_id"
"pages visited","pages_visited"
"links clicked","links_clicked"
"user interactions","user_interactions"
"voting data","voting_data"
"search terms","search_terms"
"user activity","user_activity"
"personalize content","personalize_content"
"third-party websites","third-party_websites"
"third party websites","third-party_websites"
"advertising technology","advertising_technology"
"comment-embed widget","comment-embed_widget"
"email address","email address"
"user agreement","user agreement"
