"","1","2","3","4","5","6"
"able",0.00170357751277683,0.00057427258805513,0,0,0,0.000861114528232255
"accessible",0.00440368398759992,0,0,0,0,0
"acquire",0.00270010647482309,0.000303400172419823,0,0,0,0
"adventure",0.00199305792409253,0.000111975976401446,0,0,0.00107827189073024,0.000287839833052605
"ago",0.00170357751277683,0,0.00210084033613445,0,0,0.000123016361176036
"aimed",0.00270010647482309,0.000303400172419823,0,0,0,0
"although",0.000448099498865066,0.000251755748309527,0,0.000359091339022244,0.000242428023809948,0.000161787677348871
"amateur",0.00540021294964619,0.000303400172419823,0,0,0,0
"amazing",0.000896198997730132,0.000755267244928581,0,0.000538637008533366,0.000969712095239793,0.000291217819227967
"another",0.000448099498865066,0.000151053448985716,0,0.000179545669511122,0.000242428023809948,0.000323575354697741
"appealing",0.00340715502555366,0.000382848392036753,0,0,0,0.000246032722352073
"appreciate",0.000996528962046263,0.000335927929204339,0.00122891281664108,0,0,0.000503719707842058
"arrives",0.00440368398759992,0,0,0,0,0
"asking",0.00270010647482309,0.000303400172419823,0,0,0,0
"associated",0.00440368398759992,0,0,0,0,0
"atari",0.00340715502555366,0.00057427258805513,0,0,0,0.000369049083528109
"athe",0.00440368398759992,0,0,0,0,0
"back",0.000448099498865066,0.000604213795942865,0.00110518657913359,0.000179545669511122,0,0.000291217819227967
"bad",0.000996528962046263,0.00257544745723327,0,0.00119787542809793,0,0.00136723920699987
"battle",0.000448099498865066,0.00100702299323811,0.000552593289566794,0,0.000484856047619896,0.000291217819227967
"battles",0.000996528962046263,0.000447903905605786,0,0,0.000539135945365121,0.000143919916526302
"beautiful",0.000448099498865066,0.000151053448985716,0.00110518657913359,0.000538637008533366,0,9.70726064093223e-05
"beginning",0.00270010647482309,0.00091020051725947,0,0,0,0
"bes",0.00170357751277683,0.000191424196018377,0,0,0,0.000246032722352073
"blastr",0.00270010647482309,0.000303400172419823,0,0,0,0
"blastrn",0.00440368398759992,0,0,0,0,0
"boarders",0.00270010647482309,0.000606800344839646,0,0,0,0
"boring",0.00340715502555366,0.00267993874425727,0,0,0,0.000369049083528109
"boringr",0.00270010647482309,0.000303400172419823,0,0,0,0
