"","Name","today","tomorrow"
"1","書店裡的骷髏店員本田",249288,498576
"2","逆轉裁判 第二季",37062,74124
"3","FAIRY TAIL 魔導少年 最終章",319362,638724
"4","SSSS.GRIDMAN",477048,954096
"5","哥布林殺手",1379947,2759894
"6","刀劍神域 Alicization",1277516,2555032
"7","Radiant 虛空魔境",152498,304996
"8","JOJO 的奇妙冒險 黃金之風",726128,1452256
"9","錢進球場 第二季",92116,184232
"10","火之丸相撲",169010,338020
"11","魔法禁書目錄 Ⅲ",437590,875180
"12","戀愛幕末男友外傳",25025,50050
"13","學園 BASARA",58071,116142
"14","青春豬頭少年不會夢到兔女郎學姊",854274,1708548
"15","隊長小翼",941754,1883508
"16","軒轅劍 蒼之曜",214589,429178
"17","宇宙戰艦提拉米斯 Ⅱ",95018,190036
"18","關於我轉生變成史萊姆這檔事",1585879,3171758
"19","黃金神威 第二季",211525,423050
"20","劇場版 吸血鬼僕人 -Alice in the Garden-",25640,51280
"21","K Seven Stories SIDE:BLUE ～猶如天狼～",26387,52774
